"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-31.9882797241211
21997,-32.815475209554
21996,-33.2166859944661
21995,-32.8497159322103
21994,-33.5659088134765
21993,-33.4813840230306
21992,-33.2490155537923
21991,-33.4805244445801
21990,-32.8496663411458
21989,-33.3066403706868
21988,-32.7430620829264
21987,-33.6399749755859
21986,-33.7302154541015
21985,-33.4248158772786
21984,-32.7882191975911
21983,-34.0163953145345
21982,-33.9517768859863
21981,-33.8203898111979
21980,-33.0228942871094
21979,-32.8157676696777
21978,-33.4084228515625
21977,-33.8771982828776
21976,-33.0720288594564
21975,-33.4033480326334
21974,-32.4172894795735
21973,-32.7910738627116
21972,-32.4236091613769
21971,-32.621560160319
21970,-32.2388328552246
21969,-34.2110440572103
21968,-33.3883321126302
21967,-33.721834564209
21966,-32.9751508076985
21965,-33.212193552653
21964,-33.9568084716797
21963,-33.7657569885254
21962,-34.0525319417318
21961,-34.8696718851725
21960,-32.6203241984049
21959,-34.1074394226074
21958,-32.8023844401041
21957,-33.6126210530599
21956,-32.830861155192
21955,-33.6480405171712
21954,-32.6435086568196
21953,-32.8032338460286
21952,-32.7974800109863
21951,-33.3955240885416
21950,-32.2010088602702
21949,-33.0434059143066
21948,-32.1548383076985
21947,-32.8004414876302
21946,-32.241547648112
21945,-33.3547373453776
21944,-31.8359753926595
21943,-33.4082346598307
21942,-33.0596043904622
21941,-32.593000793457
21940,-33.0698468526204
21939,-32.8789301554362
21938,-33.2711725870768
21937,-33.3488995869954
21936,-32.0237106323242
21935,-33.6593650817871
21934,-32.2721084594726
21933,-32.795502726237
21932,-33.2571217854818
21931,-33.2818651835123
21930,-32.9582288106282
21929,-32.8146830240885
21928,-32.6404963175455
21927,-33.9893287658691
21926,-33.698355102539
21925,-33.7482233683268
21924,-31.9748392740885
21923,-33.4596707661946
21922,-33.4093981424967
21921,-34.203768157959
21920,-32.9883038838704
21919,-33.1266120910644
21918,-32.6876981099446
21917,-32.8191665649414
21916,-33.8638036092122
21915,-34.3836921691894
21914,-32.7137995402018
21913,-33.022636159261
21912,-32.7306490580241
21911,-33.650425974528
21910,-33.6168312072754
21909,-32.3845008850097
21908,-33.3384905497233
21907,-33.3522654215495
21906,-32.4536041259765
21905,-31.6886327107747
21904,-32.5117719014485
21903,-33.4409024556478
21902,-32.2317286173502
21901,-33.6257410685221
21900,-33.2603197733561
21899,-33.9954615275065
21898,-33.4466664632161
21897,-33.4728391011556
21896,-32.545757039388
21895,-34.2874028523763
21894,-32.7570391337077
21893,-32.7883285522461
21892,-32.9675862630208
21891,-32.9943667093913
21890,-33.5749165852864
21889,-32.1247378031413
21888,-32.4518747965495
21887,-33.2388900756836
21886,-34.2368695576985
21885,-33.2511479695638
21884,-33.6366193135579
21883,-33.319682820638
21882,-33.6490717569987
21881,-33.1223218282064
21880,-32.9179290771484
21879,-33.6699368794759
21878,-33.3839871724446
21877,-34.1470512390136
21876,-32.5763051350911
21875,-31.7637682596842
21874,-34.1048377990722
21873,-32.7900655110677
21872,-32.4315284729004
21871,-32.8408264160156
21870,-32.3257443745931
21869,-32.9926424662272
21868,-34.1587254842122
21867,-32.0037241617838
21866,-32.0948928833008
21865,-33.8612770080566
21864,-33.7134625752767
21863,-32.8255256652832
21862,-32.4146598815918
21861,-33.1886339823405
21860,-33.4945192972819
21859,-34.0715672810872
21858,-33.5450513203939
21857,-33.3333966573079
21856,-32.5935335795084
21855,-33.3239845275879
21854,-32.4675519307454
21853,-32.2335291544596
21852,-33.1803840637207
21851,-31.4774141947428
21850,-32.1713190714518
21849,-32.6709655761719
21848,-33.1500979105631
21847,-33.1813911437988
21846,-32.9001614888509
21845,-33.0187400817871
21844,-33.6222595214844
21843,-33.1185325622558
21842,-33.9358467102051
21841,-33.8302584330241
21840,-33.5448961893717
21839,-32.7667691548665
21838,-34.0087481180827
21837,-34.2024177551269
21836,-35.0020927429199
21835,-33.9394388834635
21834,-32.2807665506998
21833,-32.6476679484049
21832,-32.7773549397786
21831,-32.668081665039
21830,-34.0824137369791
21829,-32.3182955423991
21828,-33.73576075236
21827,-33.2335278828939
21826,-33.0783638000488
21825,-32.996939086914
21824,-33.1838338216146
21823,-33.1655830383301
21822,-32.1846552530924
21821,-33.5351788838704
21820,-34.3873886108398
21819,-34.4974909464518
21818,-32.3222475687663
21817,-33.161838277181
21816,-33.1831891377767
21815,-32.8649340311686
21814,-33.1185910542806
21813,-32.9657132466634
21812,-33.9945765177409
21811,-32.9933748881022
21810,-33.3021161397298
21809,-33.8254112243652
21808,-32.795076751709
21807,-32.4407104492187
21806,-33.0405614217122
21805,-33.9075416564941
21804,-32.0333707173665
21803,-33.4926793416341
21802,-33.2801765441894
21801,-34.1306060791015
21800,-33.5182479858398
21799,-32.0000137329101
21798,-32.7168652852376
21797,-33.1026392618815
21796,-33.1938969930013
21795,-33.4036417643229
21794,-32.8249509175618
21793,-32.1752151489258
21792,-32.988747660319
21791,-33.4995254516601
21790,-32.4142351786295
21789,-33.0448644002278
21788,-32.0776084899902
21787,-32.4247319539388
21786,-33.3312795003255
21785,-33.433140818278
21784,-33.1821540832519
21783,-33.9388247172038
21782,-32.8744822184245
21781,-33.6902730305989
21780,-33.8965070088704
21779,-34.6949422200521
21778,-34.0799621582031
21777,-32.9456212361653
21776,-33.6902018229166
21775,-33.1926546732584
21774,-33.033544921875
21773,-33.5509437561035
21772,-33.14298731486
21771,-33.1459627787272
21770,-32.0867446899414
21769,-31.9372314453125
21768,-32.8210255940755
21767,-34.1599487304687
21766,-33.591239674886
21765,-32.1412872314453
21764,-33.9110473632812
21763,-32.5167869567871
21762,-34.1313016255696
21761,-33.9317929585775
