"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-23.6286376953125
21997,-23.7804270426432
21996,-23.961538696289
21995,-23.6102228800456
21994,-24.6130279541015
21993,-24.6002385457357
21992,-24.4702260335286
21991,-23.9831451416015
21990,-24.274771118164
21989,-23.837505086263
21988,-23.8962717692057
21987,-24.8805730183919
21986,-23.6214533487956
21985,-23.9293706258138
21984,-23.3274622599284
21983,-25.2433100382487
21982,-25.4395050048828
21981,-23.8954528808594
21980,-23.9496368408203
21979,-23.344330851237
21978,-24.7004964192708
21977,-24.1914174397786
21976,-22.8484049479166
21975,-24.0166280110677
21974,-23.5096216837565
21973,-24.2114420572916
21972,-23.3118143717448
21971,-22.5662953694661
21970,-23.0697565714518
21969,-25.0252670288086
21968,-25.2203659057617
21967,-24.7675104777018
21966,-23.4499877929687
21965,-24.8222132364909
21964,-24.9518341064453
21963,-24.3143981933594
21962,-23.8134216308594
21961,-25.0801172892252
21960,-23.7597946166992
21959,-24.6481053670247
21958,-23.3721527099609
21957,-24.1774175008138
21956,-23.8014689127604
21955,-24.3449157714844
21954,-23.7935394287109
21953,-23.4834147135416
21952,-23.1842890421549
21951,-24.0262232462565
21950,-23.1718963623047
21949,-24.0286010742187
21948,-23.2299891153971
21947,-22.9131429036458
21946,-23.4264383951823
21945,-24.7528010050456
21944,-22.9673675537109
21943,-24.6526880900065
21942,-25.3297129313151
21941,-24.3338658650716
21940,-23.5047236124674
21939,-23.0271870930989
21938,-25.217990620931
21937,-24.2200505574544
21936,-22.9578257242838
21935,-24.1250722249349
21934,-22.8680786132812
21933,-23.5677729288737
21932,-25.4658238728841
21931,-24.5456476847331
21930,-24.4147323608398
21929,-23.6386169433594
21928,-23.7833440144857
21927,-24.9089899698893
21926,-24.0187133789062
21925,-24.7848368326823
21924,-23.5788152058919
21923,-24.2485488891601
21922,-24.4148417154948
21921,-24.1572250366211
21920,-24.5524887084961
21919,-24.0797409057617
21918,-23.698828125
21917,-22.5394602457682
21916,-24.5789321899414
21915,-25.2607508341471
21914,-22.6066268920898
21913,-23.9278294881185
21912,-23.1563934326172
21911,-25.1055791219075
21910,-23.877544148763
21909,-24.4627339680989
21908,-24.2828582763672
21907,-24.6605921427409
21906,-22.6070922851562
21905,-22.7690185546875
21904,-23.785269165039
21903,-24.2674825032552
21902,-23.4036519368489
21901,-24.4458170572916
21900,-25.5493784586588
21899,-24.2890202840169
21898,-25.0770858764648
21897,-24.3226430257161
21896,-22.9133794148763
21895,-25.5760050455729
21894,-22.9040435791015
21893,-23.2870035807291
21892,-22.8279708862304
21891,-24.2824793497721
21890,-24.5761067708333
21889,-23.4709584554036
21888,-22.7511174519857
21887,-25.2106638590495
21886,-24.6772928873698
21885,-23.8381281534831
21884,-24.61240234375
21883,-23.4990168253581
21882,-23.5270650227864
21881,-23.8561411539713
