"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-40.3479217529297
21997,-41.8505233764648
21996,-42.4718332926432
21995,-42.089208984375
21994,-42.5187896728515
21993,-42.3625295003255
21992,-42.027805074056
21991,-42.9779037475586
21990,-41.4245615641276
21989,-42.7757756551107
21988,-41.5898523966471
21987,-42.3993769327799
21986,-43.8389775594075
21985,-42.9202611287435
21984,-42.2489761352539
21983,-42.7894805908203
21982,-42.4640487670898
21981,-43.7453267415364
21980,-42.0961517333984
21979,-42.2872044881185
21978,-42.1163492838541
21977,-43.5629791259765
21976,-43.2956527709961
21975,-42.7900680541992
21974,-41.3249572753906
21973,-41.3707056681315
21972,-41.5354039510091
21971,-42.6768249511719
21970,-41.4079091389974
21969,-43.396821085612
21968,-41.5562983194987
21967,-42.6761586507161
21966,-42.5003138224284
21965,-41.6021738688151
21964,-42.961782836914
21963,-43.2171157836914
21962,-44.2916422526041
21961,-44.6592264811198
21960,-41.4808537801107
21959,-43.5667734781901
21958,-42.2326161702474
21957,-43.047824605306
21956,-41.8602533976237
21955,-42.951165262858
21954,-41.4934778849284
21953,-42.1230529785156
21952,-42.4106709798177
21951,-42.7648249308268
21950,-41.2301213582357
21949,-42.0582107543945
21948,-41.0796875
21947,-42.6877400716146
21946,-41.0566569010416
21945,-41.9566736857096
21944,-40.704583231608
21943,-42.1637812296549
21942,-40.7894958496094
21941,-40.8521357218424
21940,-42.6349700927734
21939,-42.7306732177734
21938,-41.3243545532226
21937,-42.4777486165364
21936,-41.0895955403646
21935,-43.1936579386393
21934,-41.676138305664
21933,-42.0232325236002
21932,-41.0484196980794
21931,-42.0180826822916
21930,-41.5017252604166
21929,-41.9907491048177
21928,-41.4976486206054
21927,-43.0696675618489
21926,-43.3779968261719
21925,-42.7116099039713
21924,-40.3708633422851
21923,-42.6707926432291
21922,-42.4039545694987
21921,-44.2503112792969
21920,-41.4241190592448
21919,-42.1734832763672
21918,-41.6765680948893
21917,-43.0988728841146
21916,-43.148675028483
21915,-43.5066335042318
21914,-42.8209721883138
21913,-42.1174428304036
21912,-42.304904683431
21911,-42.1952728271484
21910,-43.3561182657877
21909,-40.3062678019205
21908,-42.3941228230794
21907,-42.043938700358
21906,-42.3001159667969
21905,-40.608246866862
21904,-41.238274637858
21903,-42.6143224080403
21902,-41.0598052978515
21901,-42.8056650797526
21900,-40.9712610880534
21899,-43.7019027709961
21898,-41.8162470499674
21897,-42.623035176595
21896,-42.1781346638997
21895,-42.9988006591797
21894,-42.6100346883138
21893,-42.289653523763
21892,-43.1072016398112
21891,-41.7062540690104
21890,-42.5737263997396
21889,-40.7785171508789
21888,-42.1526321411133
21887,-41.2671162923177
21886,-43.7964462280273
21885,-42.6641677856445
21884,-42.6608362833659
21883,-43.1403488159179
21882,-43.7710784912109
21881,-42.3885025024414
21880,-42.5933797200521
21879,-43.8413172403971
21878,-42.9704294840495
21877,-44.984487915039
21876,-42.3988352457682
21875,-40.8360326131185
21874,-43.3508438110351
21873,-41.9563430786133
21872,-41.0014302571614
21871,-42.9237706502278
21870,-41.8837646484375
21869,-41.922112528483
21868,-44.0551920572916
21867,-41.7210169474284
21866,-41.2153432210286
21865,-42.6896779378255
21864,-42.5195500691732
21863,-41.611196899414
21862,-41.1775115966797
21861,-43.6927220662435
21860,-42.5370162963867
21859,-45.3597880045573
21858,-42.4587717692057
21857,-42.2522466023763
21856,-42.3716924031575
21855,-44.2567504882812
21854,-42.0540425618489
21853,-41.9776596069336
21852,-43.4613733927409
21851,-40.3846852620443
21850,-41.2568878173828
21849,-41.5959864298502
21848,-42.4329106648763
21847,-41.6986729939778
21846,-42.3096806844075
21845,-42.0167627970377
21844,-42.3719619750976
21843,-41.099712117513
21842,-44.2348846435547
21841,-42.6128651936849
21840,-43.2395156860351
21839,-42.138176981608
21838,-43.4558573404948
21837,-42.3923400878906
21836,-45.0782531738281
21835,-43.2139241536458
21834,-42.854958597819
21833,-42.0533584594726
21832,-41.8256108601888
21831,-41.3323069254557
21830,-44.4285949707031
21829,-42.1836456298828
21828,-42.4179087320963
21827,-42.4089950561523
21826,-42.9458399454752
21825,-42.214832051595
21824,-42.1965977986653
21823,-41.4408325195312
21822,-41.6809244791666
21821,-42.6496337890625
21820,-44.1354024251302
21819,-42.9107701619466
21818,-42.4184631347656
21817,-43.197866821289
21816,-41.6822647094726
21815,-42.8049657185872
21814,-42.6290649414062
21813,-42.2342692057291
21812,-42.8820073445638
21811,-42.9688985188802
21810,-42.4488815307617
21809,-43.1913538614909
21808,-41.5849187215169
21807,-41.8424362182617
21806,-42.4137049357096
21805,-43.3246419270833
21804,-41.1142232259114
21803,-42.6819213867187
21802,-43.8024149576823
21801,-43.2750661214193
21800,-42.4808817545573
21799,-41.5790339152018
21798,-41.3338455200195
21797,-41.8024175008138
21796,-42.3983317057291
21795,-42.9504837036133
21794,-42.3469477335612
21793,-41.354594930013
21792,-43.1347234090169
21791,-43.6274881998698
21790,-41.0583989461263
21789,-41.8348958333333
21788,-41.143174235026
21787,-41.6564010620117
21786,-41.8112904866536
21785,-42.7185857137044
21784,-42.2211212158203
21783,-42.7051045735677
21782,-42.6969919840495
21781,-43.055039469401
21780,-43.4486984252929
21779,-44.3418436686198
21778,-43.2885726928711
21777,-43.4729649861653
21776,-44.2085784912109
21775,-41.5734542846679
21774,-42.3357350667318
21773,-44.0097615559896
21772,-42.5664530436198
21771,-42.086154683431
21770,-41.1365239461263
21769,-40.9982259114583
21768,-41.4563278198242
21767,-44.5093139648437
21766,-43.870947265625
21765,-42.0482594807943
21764,-43.4605316162109
21763,-41.7971557617187
21762,-44.1716471354166
21761,-43.1702865600586
21760,-42.8662704467773
21759,-42.8934616088867
21758,-42.6119522094726
21757,-43.4346450805664
21756,-42.7657480875651
21755,-42.2338139851888
21754,-43.3241053263346
21753,-43.5326573689778
21752,-44.2656539916992
21751,-44.1570393880208
21750,-42.0454569498698
21749,-42.5283009847005
21748,-43.1386525472005
21747,-41.9600713094075
21746,-43.1669118245443
21745,-41.4869344075521
21744,-40.9802637736002
21743,-42.1232920328776
21742,-41.7094050089518
21741,-41.7238805135091
21740,-43.1310333251953
21739,-41.4564168294271
21738,-41.9977452596028
21737,-41.6084070841471
21736,-43.0061401367187
21735,-43.3049555460612
21734,-41.2247909545898
21733,-42.9965779622396
21732,-41.1475280761719
21731,-43.5090977986653
21730,-41.6623036702474
21729,-42.9064595540364
21728,-41.863150024414
21727,-41.938833618164
21726,-43.3963175455729
21725,-42.6312825520833
21724,-42.7450139363607
21723,-40.5929346720377
21722,-42.5291198730469
21721,-41.5383438110351
21720,-42.9719095865885
21719,-43.7455123901367
21718,-41.6147369384765
21717,-43.4089518229166
21716,-43.4583292643229
21715,-43.8861551920573
21714,-43.0931508382161
21713,-44.1122421264648
21712,-42.1293039957682
21711,-44.4190455118815
21710,-41.8065500895182
21709,-40.9051701863607
21708,-41.2965682983398
21707,-43.1055384318034
21706,-43.1461598714193
21705,-42.9762990315755
21704,-41.8765955607096
21703,-42.4559260050455
21702,-43.9678456624349
21701,-41.956032816569
21700,-43.354833984375
21699,-41.7510182698568
21698,-42.8499791463216
21697,-42.508039855957
21696,-42.4579579671224
21695,-42.898774210612
21694,-39.9891799926758
21693,-42.4533879597982
21692,-43.4579274495443
21691,-41.7148244222005
21690,-42.7641967773437
21689,-44.4114924112955
21688,-41.2559850056966
21687,-43.663178507487
21686,-43.3309666951497
21685,-41.8580205281575
21684,-42.7300577799479
21683,-41.3581629435221
21682,-41.185395304362
21681,-41.1716751098633
21680,-43.0638870239258
21679,-42.3633178710937
21678,-42.2686167399088
21677,-41.0864903767903
21676,-41.5228230794271
21675,-43.0314112345377
21674,-42.4374120076497
21673,-42.3950688680013
21672,-44.3119466145833
21671,-43.9169906616211
21670,-41.1208531697591
21669,-43.9164159138997
21668,-41.9941874186198
21667,-41.7364969889323
21666,-42.2047205607096
21665,-43.2674290974935
21664,-41.4389302571614
21663,-43.4433044433594
21662,-41.926985168457
21661,-43.2658701578776
21660,-41.2388188680013
21659,-42.7297958374023
21658,-40.6449569702148
21657,-43.4505167643229
21656,-43.2337326049804
21655,-43.7598124186198
21654,-42.1480773925781
21653,-41.2128229777018
21652,-43.8411799112955
21651,-42.4804036458333
21650,-43.4053227742513
21649,-41.8395268758138
21648,-43.2911717732747
21647,-44.9560226440429
21646,-42.6776387532552
21645,-41.2837560017903
21644,-42.8574330647786
21643,-44.2538818359375
21642,-41.8003829956054
21641,-42.663916015625
21640,-42.8629872639974
21639,-41.5632385253906
21638,-42.6338740030924
21637,-41.8586410522461
21636,-43.1219645182291
21635,-42.3776331583659
21634,-42.4427474975586
21633,-42.3383366902669
21632,-42.5725947062174
21631,-42.3972076416015
