"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-33.5825663248698
21997,-34.0315612792969
21996,-26.4140940348307
21995,-28.933935546875
21994,-30.5532338460286
21993,-24.7362833658854
21992,-27.7956807454427
21991,-33.451035563151
21990,-23.0700693766276
21989,-32.7221435546875
21988,-26.6186381022135
21987,-29.3558563232422
21986,-23.4140686035156
21985,-32.0669616699219
21984,-29.6666880289713
21983,-27.2854420979817
21982,-29.6327982584635
21981,-28.6423756917317
21980,-31.8238891601562
21979,-30.347504679362
21978,-23.6687886555989
21977,-30.3308064778646
21976,-26.3372253417969
21975,-28.5467946370442
21974,-26.6172342936198
21973,-26.7475036621094
21972,-34.1679545084635
21971,-28.134390258789
21970,-27.3765472412109
21969,-26.5958669026692
21968,-33.4217183430989
21967,-25.5510213216146
21966,-25.1833455403646
21965,-30.0944478352864
21964,-26.1104034423828
21963,-28.2519439697265
21962,-28.3155629475911
21961,-29.8952189127604
21960,-33.341899617513
21959,-29.5004282633463
21958,-24.2538157145182
21957,-25.5809336344401
21956,-30.3853363037109
21955,-24.0814270019531
21954,-25.0333262125651
21953,-27.8335632324219
21952,-29.6654164632161
21951,-30.9561930338541
21950,-27.1440999348958
21949,-32.6101949055989
21948,-26.7648173014323
21947,-25.3088948567708
21946,-28.8995320638021
21945,-30.4784810384114
21944,-24.5770426432291
21943,-34.5449432373047
21942,-28.2444620768229
21941,-36.5114756266276
21940,-29.9563100179036
21939,-25.9170542399088
21938,-31.9896453857422
21937,-29.6522430419922
21936,-35.6603047688802
21935,-35.9678151448568
21934,-19.8834442138672
21933,-26.4000305175781
21932,-31.3537455240885
21931,-29.4025634765625
21930,-32.166845703125
21929,-27.681982421875
21928,-26.6672526041666
21927,-37.0722106933594
21926,-24.9182851155599
21925,-29.657583618164
21924,-28.6349650065104
21923,-31.0025136311849
21922,-33.6879028320312
21921,-26.0735432942708
21920,-35.0513366699219
21919,-27.597758992513
21918,-23.0168314615885
21917,-30.0861063639323
21916,-24.6445729573567
21915,-26.2752899169922
21914,-32.2980153401693
21913,-31.4949961344401
21912,-31.0706899007161
21911,-33.8217580159505
21910,-29.1163848876953
21909,-23.9149383544922
21908,-27.6589314778646
21907,-22.7377227783203
21906,-27.7378346761067
21905,-27.1013193766276
21904,-26.4298258463541
21903,-28.4843861897786
21902,-27.2067372639974
21901,-26.8427897135416
21900,-33.486929321289
21899,-21.6035827636719
21898,-37.8803771972656
21897,-30.4132039388021
21896,-28.0910146077474
21895,-28.9616811116536
21894,-26.4780131022135
21893,-23.9210164388021
21892,-37.932730102539
21891,-26.4339711507161
21890,-33.8859975179036
21889,-27.0253763834635
21888,-35.3617462158203
21887,-28.0260274251302
21886,-27.5913808186849
21885,-27.2560587565104
21884,-28.2062845865885
21883,-24.7940836588541
21882,-34.6277730305989
21881,-29.7323720296224
21880,-30.1224477132161
21879,-26.6257385253906
21878,-29.0554412841797
21877,-26.5626586914062
21876,-26.4722249348958
21875,-35.9521341959635
21874,-36.4462392171224
21873,-32.4886586507161
21872,-33.1883199055989
21871,-24.4790863037109
21870,-27.4040537516276
21869,-38.4157826741536
21868,-27.9520477294922
21867,-18.7219909667969
21866,-27.9024210611979
21865,-27.7519592285156
21864,-27.600444539388
21863,-28.3915364583333
21862,-27.255224609375
21861,-22.8350128173828
21860,-28.2447621663411
21859,-26.2721211751302
21858,-31.2632609049479
21857,-31.0229044596354
21856,-31.6373708089192
21855,-26.9715077718099
21854,-28.1905019124349
21853,-30.8288533528646
21852,-28.7563079833984
21851,-26.404399617513
21850,-30.4002644856771
21849,-27.9366414388021
21848,-29.054790242513
21847,-33.2952484130859
21846,-31.7714497884114
21845,-25.4822194417317
21844,-31.8586944580078
21843,-29.9391947428385
21842,-36.7135426839193
21841,-28.5212463378906
21840,-32.0124928792318
21839,-35.5356709798177
21838,-28.3869181315104
21837,-29.1291107177734
21836,-27.7485361735026
21835,-28.2046315511067
21834,-30.6941080729166
21833,-23.1182006835937
21832,-29.7234202067057
21831,-27.0350758870442
21830,-22.1599436442057
21829,-29.6801157633463
21828,-28.7051300048828
21827,-30.1014770507812
21826,-27.6562306722005
21825,-32.0812744140625
21824,-25.3847462972005
21823,-25.0039377848307
21822,-25.8356384277344
21821,-34.3954071044922
21820,-24.692963663737
21819,-23.5658376057942
21818,-31.6376708984375
21817,-27.947856648763
21816,-33.9084940592448
21815,-34.8115041097005
21814,-27.0517893473307
21813,-29.5581217447916
21812,-27.2646036783854
21811,-18.9967305501302
21810,-24.7793792724609
21809,-32.7817036946614
21808,-30.555517578125
21807,-30.1350209554036
21806,-28.2360290527344
21805,-25.3181772867838
21804,-30.7148244222005
21803,-28.1127278645833
21802,-25.8837951660156
21801,-30.3093322753906
21800,-24.1468617757161
21799,-24.0900482177734
21798,-25.2968302408854
21797,-35.2214009602864
21796,-29.501084391276
21795,-26.6392018636067
21794,-28.8830576578776
21793,-24.9963541666666
21792,-24.9499623616536
21791,-24.5175435384114
21790,-25.1427215576172
21789,-28.6688293457031
21788,-34.502060953776
21787,-33.3198201497396
21786,-37.7499552408854
21785,-22.9609588623047
21784,-28.8539642333984
21783,-29.7102874755859
21782,-24.6707214355469
21781,-29.300395711263
21780,-24.0681671142578
21779,-30.7218027750651
21778,-32.0951293945312
21777,-30.8335734049479
21776,-23.3729817708333
21775,-28.128022257487
21774,-34.8087270100911
21773,-25.6286326090495
21772,-26.8906209309896
21771,-25.5096750895182
21770,-27.1513529459635
21769,-27.5134338378906
21768,-21.7116048177083
21767,-25.0661071777344
21766,-27.625102742513
21765,-30.8374135335286
21764,-27.0946767171224
21763,-25.5187947591146
21762,-25.5899871826172
21761,-25.4339965820312
21760,-32.4906168619791
21759,-23.4789744059245
21758,-24.3524536132812
21757,-28.1559967041015
21756,-24.3398854573567
21755,-26.6762959798177
21754,-25.8886423746745
21753,-21.7105316162109
21752,-26.1953999837239
21751,-25.9620880126953
21750,-26.7414560953776
21749,-27.035248819987
21748,-34.9458068847656
21747,-25.7277842203776
21746,-27.5720784505208
21745,-24.1770640055338
21744,-27.8754231770833
21743,-28.2351491292317
21742,-29.3511515299479
21741,-25.7477681477864
21740,-24.2192342122396
21739,-25.0966247558594
21738,-23.9285135904948
21737,-30.8835459391276
21736,-28.1213897705078
21735,-26.766460164388
21734,-25.9854187011719
21733,-34.3552408854166
21732,-36.9761006673177
21731,-26.9327860514323
21730,-39.7500467936198
21729,-30.7201446533203
21728,-28.518662516276
21727,-25.8866333007812
21726,-30.6565053304036
21725,-23.9813293457031
21724,-23.0199239095052
21723,-28.5259613037109
21722,-23.2924204508463
21721,-25.6791493733724
21720,-24.0193084716797
21719,-24.664887491862
21718,-27.7781992594401
21717,-27.6878723144531
21716,-29.4440979003906
21715,-33.8801635742187
21714,-29.8376678466797
21713,-29.2553415934245
21712,-20.3108072916666
21711,-26.8919993082682
21710,-29.6448018391927
21709,-30.4596822102864
21708,-23.1153879801432
21707,-27.9437215169271
21706,-29.3235076904297
21705,-27.2246256510416
21704,-29.0878407796224
21703,-29.2821563720703
21702,-28.3137878417969
21701,-31.3120178222656
21700,-30.4096282958984
21699,-24.2211669921875
21698,-32.1348073323568
21697,-32.2894399007161
21696,-28.0333618164062
21695,-30.4170694986979
21694,-42.2257446289062
21693,-30.0135813395182
21692,-22.7273518880208
21691,-29.2829345703125
21690,-42.7348490397135
21689,-28.4086517333984
