"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-17.0802469889323
21997,-15.2478876749674
21996,-15.2496971130371
21995,-14.8866409301758
21994,-13.6195879618327
21993,-12.6457529703776
21992,-14.2134740193685
21991,-14.3755452473958
21990,-12.2989397684733
21989,-17.3258753458659
21988,-13.620225016276
21987,-15.5088307698567
21986,-11.4782686869303
21985,-15.0814181009928
21984,-14.0323572794596
21983,-13.4707702636719
21982,-14.1051467895508
21981,-13.357529703776
21980,-14.8235127766927
21979,-15.87869237264
21978,-12.3288088480631
21977,-14.8171002705892
21976,-13.8770723978678
21975,-13.8422353108724
21974,-14.1938690185547
21973,-13.1042287190755
21972,-16.4439376831054
21971,-14.6522557576497
21970,-14.8974250793457
21969,-13.5782709757487
21968,-14.9548311869303
21967,-12.9150413513183
21966,-14.57152150472
21965,-15.7283996582031
21964,-13.4399487813314
21963,-13.5523577372233
21962,-13.3035186767578
21961,-13.3082005818685
21960,-14.7684895833333
21959,-15.0232490539551
21958,-13.8721425374349
21957,-13.9763791402181
21956,-13.6375272115071
21955,-12.2811264038086
21954,-13.1809778849284
21953,-13.208406829834
21952,-15.8394416809082
21951,-14.815828704834
21950,-14.7921712239583
21949,-13.7143056233724
21948,-12.8707285563151
21947,-13.5756935119629
21946,-14.6313588460286
21945,-14.6522557576497
21944,-12.9258407592773
21943,-15.5841328938802
21942,-14.9970751444498
21941,-16.5046625773112
21940,-14.2932266235351
21939,-12.9852279663086
21938,-15.2246854146321
21937,-13.3587071736653
21936,-16.3155260721842
21935,-16.6751235961914
21934,-12.1182413736979
21933,-13.0225280761719
21932,-15.403121693929
21931,-13.2309809366862
21930,-16.2114585876465
21929,-13.9350545247396
21928,-13.2528060913086
21927,-16.8986317952474
21926,-12.2782819112142
21925,-14.9612398783366
21924,-15.4816955566406
21923,-14.8339090983073
21922,-16.3957682291666
21921,-15.5326446533203
21920,-17.9861600240071
21919,-14.4888760884603
21918,-11.8603907267252
21917,-15.6432301839192
21916,-14.5765886942545
21915,-11.3063161214192
21914,-16.4232594807942
21913,-14.0886990865071
21912,-14.4973065694173
21911,-14.8815305074056
21910,-15.4264765421549
21909,-11.5042098999023
21908,-13.781425221761
21907,-12.1803560892741
21906,-15.5061286926269
21905,-13.9812288920084
21904,-13.7167508443196
21903,-12.4007514953613
21902,-13.5493746439616
21901,-12.4276540120442
21900,-15.6785453796386
21899,-11.8914843241373
21898,-15.6489217122396
21897,-14.31814549764
21896,-14.8943758646647
21895,-15.7286603291829
21894,-13.4007794698079
21893,-14.6169520060221
21892,-18.0329460144043
21891,-14.9388259887695
21890,-16.404207611084
21889,-13.7837827046712
21888,-18.0497942606608
21887,-14.722146097819
21886,-13.9036506652832
21885,-14.3043451944987
21884,-13.6771873474121
21883,-12.7136138916015
21882,-17.3901885986328
21881,-15.1250760396321
21880,-14.7449338277181
21879,-14.8549649556478
21878,-13.6600123087565
21877,-14.2380978902181
21876,-12.9589116414388
21875,-17.079438273112
21874,-16.8141960144043
21873,-15.2044878641764
21872,-16.4059547424316
21871,-12.4239435831705
21870,-13.0708043416341
21869,-16.4707906087239
21868,-14.5717669169108
21867,-10.6565790812174
21866,-14.0014073689778
21865,-14.3602368672689
21864,-13.567308807373
21863,-13.5491432189941
21862,-13.0310590108235
21861,-12.5548487345377
21860,-13.7208770751953
21859,-12.9716603597005
21858,-13.6624499003092
21857,-14.4262616475423
21856,-15.3758224487304
21855,-13.5891034444173
21854,-14.8216779073079
21853,-13.194926961263
21852,-12.8103024800618
21851,-13.3323272705078
21850,-13.7764355977376
21849,-13.2509775797526
21848,-14.142613474528
21847,-14.8362284342448
21846,-14.9355504353841
21845,-14.7105926513672
21844,-14.472504679362
21843,-14.4756683349609
21842,-15.8638595581054
21841,-13.7166186014811
21840,-14.8394645690918
21839,-14.9109608968099
21838,-16.1229970296224
21837,-14.2951632181803
21836,-13.3833399454752
21835,-13.8915364583333
21834,-15.7472429911295
21833,-13.0869277954101
21832,-13.6852300008138
21831,-13.8962615966797
21830,-12.5596794128418
21829,-14.5309089660644
21828,-13.9520706176758
21827,-15.5657320658366
21826,-13.0529032389323
21825,-15.652316792806
21824,-14.7482627868652
21823,-15.4275179545084
21822,-12.3401423136393
21821,-15.1766507466634
21820,-14.8478581746419
21819,-13.0098289489746
21818,-16.2130416870117
21817,-14.5537831624349
21816,-16.3839515686035
21815,-16.242835744222
21814,-13.7150901794433
21813,-14.7038597106933
21812,-13.4132471720377
21811,-11.7587214152018
21810,-14.8751307169596
21809,-16.5792996724446
21808,-15.4017941792806
21807,-15.2594868977864
21806,-14.3998067220052
21805,-12.6209866841634
21804,-15.2614934285482
21803,-13.056982421875
21802,-12.3659334818522
21801,-14.6370897928873
21800,-13.334014638265
21799,-13.6224006652832
21798,-13.5351687113444
21797,-15.2181559244791
21796,-15.1355600992838
21795,-14.6185935974121
21794,-14.2639297485351
21793,-13.0240069071452
21792,-13.7435796101888
21791,-12.6703514099121
21790,-13.5866467793782
21789,-14.7450597127278
21788,-14.7022054036458
21787,-14.4543988545735
21786,-18.4647226969401
21785,-13.193654123942
21784,-13.8133199055989
21783,-15.1506675720215
21782,-14.6161865234375
21781,-14.3276326497396
21780,-12.3451243082682
21779,-14.6598495483398
21778,-16.8771842956543
21777,-14.6939631144205
21776,-12.7051681518554
21775,-14.5477890014648
21774,-16.3490928649902
21773,-13.9668869018554
21772,-14.1316856384277
21771,-14.481423441569
21770,-13.6400258382161
21769,-13.9083859761556
21768,-12.5225039164225
21767,-13.7257064819336
21766,-16.3232686360677
21765,-15.2991495768229
21764,-15.1896677652995
21763,-15.1043546040853
21762,-13.2576494852702
21761,-13.3605140686035
21760,-15.6515335083008
21759,-12.4684763590495
21758,-12.8881337483724
21757,-14.3488906860351
21756,-12.9456250508626
21755,-12.7073806762695
21754,-12.6594579060872
21753,-11.9594393412272
21752,-13.2092486063639
21751,-13.3803937276204
21750,-12.4755564371745
21749,-13.2342475891113
21748,-14.9373776753743
21747,-12.5551958719889
21746,-13.7877855936686
21745,-13.8445533752441
21744,-12.9200258890788
21743,-14.3740142822265
21742,-13.9303649902344
21741,-13.5113395690918
21740,-13.1326329549153
21739,-13.4983009338379
21738,-13.2874015808105
21737,-14.3380798339844
21736,-14.4908940633138
21735,-13.5672350565592
21734,-12.6795804341634
21733,-16.0205596923828
21732,-16.0362380981445
21731,-12.8277216593424
21730,-17.226052347819
21729,-14.1316780090332
21728,-14.7025194803873
21727,-12.9855344136556
21726,-14.135122680664
21725,-13.1143402099609
21724,-12.4829925537109
21723,-15.9384902954101
21722,-11.4061772664388
21721,-13.2935114542643
21720,-14.4208422342936
21719,-13.0683692932129
21718,-13.2256912231445
21717,-12.8365208943685
21716,-14.1393658955892
21715,-16.2108304341634
21714,-14.3275792439778
21713,-14.2890495300293
21712,-12.5917635599772
21711,-13.2093427022298
21710,-14.6136433919271
21709,-15.2059692382812
21708,-12.1932866414388
21707,-14.1722994486491
21706,-13.9573933919271
21705,-14.3886360168457
21704,-14.3081764221191
21703,-16.3594306945801
21702,-14.1257067362467
21701,-14.9691922505696
21700,-15.2544629414876
21699,-12.6128601074219
21698,-17.0980260213216
21697,-14.5281127929687
21696,-13.6876866658528
21695,-15.4444132486979
21694,-17.3274457295735
21693,-14.6821884155273
21692,-11.9022913614909
