"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-28.3795481363932
21997,-25.8262542724609
21996,-24.8633051554362
21995,-24.2545328776041
21994,-22.7428014119466
21993,-20.4634256998698
21992,-22.3190012613932
21991,-24.7812103271484
21990,-19.5449762980143
21989,-26.9209706624349
21988,-21.9747833251953
21987,-25.6414042154948
21986,-18.7310521443685
21985,-24.9819320678711
21984,-23.5588083902995
21983,-23.2110046386719
21982,-24.8223429361979
21981,-20.1272313435872
21980,-24.9340474446614
21979,-25.6287521362304
21978,-19.7850936889648
21977,-24.8692052205403
21976,-23.1046432495117
21975,-21.2614934285482
21974,-23.1364756266276
21973,-20.2987197875976
21972,-25.8535802205403
21971,-24.369617207845
21970,-24.2688379923502
21969,-23.2257090250651
21968,-23.4908584594726
21967,-18.9580927530924
21966,-23.5336873372396
21965,-26.7959554036458
21964,-22.5756312052409
21963,-22.2761418660482
21962,-21.2233388264974
21961,-23.2415323893229
21960,-24.4184936523437
21959,-24.4780309041341
21958,-23.0163940429687
21957,-22.9649948120117
21956,-22.3914067586263
21955,-20.6248611450195
21954,-23.2792317708333
21953,-21.9370610555013
21952,-25.2650538126627
21951,-25.6199935913086
21950,-20.9859502156575
21949,-23.447368367513
21948,-21.008169555664
21947,-21.5350173950195
21946,-22.7558756510416
21945,-25.3826253255208
21944,-19.8925587972005
21943,-27.1539978027344
21942,-23.3204584757487
21941,-25.8528706868489
21940,-23.4401484171549
21939,-21.4836079915364
21938,-24.3627558390299
21937,-21.8154663085937
21936,-28.2515548706054
21935,-27.9335032145182
21934,-19.6443542480469
21933,-21.1860717773437
21932,-25.8821650187174
21931,-22.9452016194661
21930,-26.6334264119466
21929,-23.0836064656575
21928,-20.7741099039713
21927,-28.5437683105469
21926,-21.6703526814778
21925,-24.7257471720377
21924,-24.3235127766927
21923,-24.449575805664
21922,-26.429067993164
21921,-25.7212153116862
21920,-28.4259221394857
21919,-24.4808283487956
21918,-19.5342519124349
21917,-26.0085611979166
21916,-23.0946894327799
21915,-19.4120391845703
21914,-26.8431126912435
21913,-23.617658996582
21912,-25.3819259643554
21911,-24.902815246582
21910,-25.0506779988607
21909,-17.8605916341146
21908,-24.1532679239909
21907,-19.9422388712565
21906,-25.2683039347331
21905,-21.9246149698893
21904,-22.7702112833659
21903,-20.8523289998372
21902,-22.2809102376302
21901,-22.6143300374349
21900,-27.4230026245117
21899,-19.1036997477213
21898,-25.9298461914062
21897,-24.3403610229492
21896,-24.5090011596679
21895,-24.3881057739258
21894,-22.2403905232747
21893,-22.3624938964844
21892,-29.2841451009114
21891,-24.2039754231771
21890,-28.2356196085612
21889,-23.1588272094726
21888,-28.7410059611002
21887,-24.0405843098958
21886,-23.4972468058268
21885,-23.9199864705403
21884,-22.4931065877278
21883,-20.7179779052734
21882,-29.7868153889974
21881,-25.0459248860677
21880,-23.788801574707
21879,-24.237890625
21878,-23.8374542236328
21877,-23.2350092569987
21876,-22.3190063476562
21875,-28.160264078776
21874,-26.7701807657877
21873,-25.8536209106445
21872,-26.4775400797526
21871,-20.5924947102864
21870,-21.9210825602213
21869,-28.2829752604166
21868,-22.5320368448893
21867,-17.8675038655599
21866,-23.5831258138021
21865,-24.2957748413086
21864,-22.5145146687825
21863,-22.8326909383138
21862,-21.8054336547851
21861,-21.9549774169922
21860,-23.6129211425781
21859,-21.3778696695963
21858,-23.1604853312174
21857,-23.8403610229492
21856,-24.8706370035807
21855,-23.0026789347331
21854,-25.5546300252278
21853,-22.6960561116536
21852,-20.9375951131185
21851,-21.7975830078125
21850,-22.4467300415039
21849,-21.4277201334635
21848,-23.3431533813476
21847,-24.4904159545898
21846,-26.14658203125
21845,-22.9558980305989
21844,-25.2723449707031
21843,-24.6515309651692
21842,-26.6268931070963
21841,-23.2792902628581
21840,-23.3617462158203
21839,-26.028184000651
21838,-26.7486633300781
21837,-24.3975204467773
21836,-22.6050984700521
21835,-24.3457753499349
21834,-25.4261077880859
21833,-20.3699122111002
21832,-22.6749837239583
21831,-23.0980311075846
21830,-19.4372517903646
21829,-23.5820907592773
21828,-23.654155476888
21827,-25.4086288452148
21826,-22.4829823811849
21825,-25.6037913004557
21824,-24.0912409464518
21823,-25.5318257649739
21822,-21.3524841308594
21821,-25.2670832316081
21820,-22.4135447184245
21819,-21.9892868041992
21818,-25.5232579549153
21817,-22.964468383789
21816,-27.1326151529948
21815,-27.5118876139323
21814,-22.7496475219726
21813,-25.7220240275065
21812,-22.5039759318034
21811,-17.9196126302083
21810,-21.8644165039062
21809,-28.1559687296549
21808,-23.5670455932617
21807,-25.4436604817708
21806,-22.988144938151
21805,-21.4515772501627
21804,-25.3411519368489
21803,-23.4015614827474
21802,-20.5249872843424
21801,-25.1742691040039
21800,-20.8555943806966
21799,-22.2768844604492
21798,-22.6605819702148
21797,-26.0715723673502
21796,-24.2638839721679
21795,-22.5611938476562
21794,-24.5772664388021
21793,-21.1288716634114
21792,-22.9039723714192
21791,-19.9775451660156
21790,-20.7756001790364
21789,-24.9716094970703
21788,-25.1216135660807
21787,-24.5318537394206
21786,-29.6746276855469
21785,-21.2690617879232
21784,-23.6001037597656
21783,-25.3577560424804
21782,-23.8430745442708
21781,-23.9738271077474
21780,-21.2315327962239
21779,-22.2451894124349
21778,-27.7218841552734
21777,-25.2758875528971
21776,-20.1049458821614
21775,-25.1772521972656
21774,-28.5964543660482
21773,-21.3830881754557
21772,-22.8302749633789
21771,-23.754014078776
21770,-22.6853647867838
21769,-23.3650802612304
21768,-18.1509078979492
21767,-20.9656636555989
21766,-25.4259958902995
21765,-24.8448598225911
21764,-25.123892211914
21763,-23.7330764770508
21762,-21.9024846394857
21761,-22.7345820109049
21760,-26.8439544677734
21759,-20.5881001790364
21758,-21.8148254394531
21757,-24.7006210327148
21756,-22.6950312296549
21755,-21.4339864095052
21754,-20.8270044962565
21753,-18.1419052124023
21752,-22.6553456624349
21751,-22.1911097208659
21750,-20.9971425374349
21749,-22.6880401611328
21748,-25.4675481160482
21747,-21.1442398071289
21746,-23.3328842163086
21745,-22.4023295084635
21744,-21.7357365926107
21743,-23.7350830078125
21742,-23.7737080891927
21741,-22.0195297241211
21740,-21.9102055867513
21739,-22.4075302124023
21738,-22.2242594401041
21737,-24.6074483235677
21736,-24.2122202555338
21735,-21.9397771199544
21734,-21.4265223185221
21733,-27.051247660319
21732,-27.632192993164
21731,-20.5481501261393
21730,-30.1095896402995
21729,-23.6023493448893
21728,-25.0641718546549
21727,-21.0333694458008
21726,-22.8753723144531
21725,-21.4769297281901
21724,-19.7854827880859
21723,-25.1645543416341
21722,-20.1965291341146
21721,-21.0716003417969
21720,-22.1859776814778
21719,-21.9788548787435
21718,-21.7460057576497
21717,-21.6446034749349
21716,-24.0052322387695
21715,-27.7334528605143
21714,-23.8634348551432
21713,-24.7373794555664
21712,-20.7643061319987
21711,-21.8144821166992
21710,-24.3237620035807
21709,-24.5222127278646
21708,-17.9419692993164
21707,-23.0550725301107
21706,-23.191498819987
21705,-22.5325073242187
21704,-25.7708775838216
21703,-28.7055648803711
21702,-23.7275477091471
21701,-24.2700993855794
21700,-27.1481155395508
21699,-21.9826212565104
21698,-25.7964462280273
21697,-24.7747965494791
21696,-22.1248179117838
21695,-26.2414560953776
21694,-30.3386622111002
21693,-24.4305379231771
21692,-18.7340199788411
21691,-23.303938293457
21690,-31.3101409912109
21689,-22.2518371582031
21688,-23.6480850219726
21687,-23.4563812255859
21686,-23.9536727905273
21685,-23.0193211873372
21684,-23.4829010009765
21683,-20.1998962402344
21682,-22.5394729614258
21681,-19.3889551798502
21680,-18.5007461547851
21679,-21.3051767985026
21678,-22.7228963216146
21677,-30.8428736368815
21676,-23.8176762898763
21675,-22.9735702514648
21674,-25.4388463338216
21673,-22.2161061604817
21672,-24.9212071736653
21671,-22.4436986287435
21670,-24.2794555664062
21669,-24.4154927571614
21668,-26.0821111043294
21667,-27.7154220581054
21666,-22.6189432779948
21665,-25.7019180297851
21664,-26.9233434041341
21663,-24.3216079711914
21662,-27.390473429362
21661,-26.3426498413086
21660,-28.0914520263672
21659,-24.121435546875
21658,-24.0033630371094
21657,-23.8107996622721
21656,-22.1346725463867
21655,-23.7468627929687
21654,-23.9628967285156
21653,-24.3965057373047
21652,-24.9436833699544
21651,-19.5313680013021
21650,-25.4282287597656
21649,-25.7192520141601
21648,-24.4551528930664
21647,-23.8053090413411
21646,-24.2812357584635
21645,-22.8802805582682
21644,-21.445893351237
21643,-25.0110967000325
21642,-24.5828028361002
21641,-23.0584904988607
21640,-24.8353586832682
21639,-22.6132161458333
21638,-21.920767211914
21637,-24.6415491739909
21636,-21.0930338541666
21635,-25.1723007202148
21634,-23.5476643880208
21633,-21.5566747029622
21632,-23.2651911417643
21631,-25.2269678751627
21630,-22.4316085815429
21629,-25.1570648193359
21628,-25.8108861287435
21627,-22.4185953776041
21626,-24.8096959431966
21625,-24.4453567504883
21624,-19.6451349894206
21623,-24.3215749104817
21622,-25.0044667561849
21621,-22.085915629069
21620,-27.0353505452474
21619,-23.9239283243815
21618,-22.5849797566732
21617,-21.5582616170247
21616,-24.5968205769857
21615,-28.257551574707
21614,-23.8682540893554
21613,-25.610339864095
21612,-24.5713612874349
21611,-24.6972462972005
21610,-23.966909790039
21609,-23.836408996582
21608,-22.0106770833333
21607,-20.7390096028646
21606,-27.4988108317057
21605,-27.7132781982422
21604,-27.1349446614583
21603,-25.6664693196614
21602,-26.7195393880208
21601,-24.7818206787109
21600,-24.8356613159179
21599,-28.7283208211263
21598,-24.6847518920898
21597,-24.2022003173828
21596,-27.532443745931
21595,-26.5152547200521
21594,-21.1196807861328
21593,-20.863269551595
21592,-23.6176615397135
21591,-19.9983149210612
21590,-21.4031127929687
21589,-23.0397298177083
21588,-24.8424997965495
21587,-24.9426788330078
21586,-21.6153523763021
21585,-22.1015304565429
21584,-24.7166885375976
21583,-23.5498896280924
21582,-23.2451766967773
21581,-24.7937428792317
21580,-23.5409810384114
21579,-23.846792602539
21578,-22.0753133138021
21577,-24.2902308146159
21576,-23.5842447916666
21575,-20.6807896931966
21574,-23.9571924845377
21573,-22.5915486653646
21572,-22.7109410603841
21571,-25.1587661743164
21570,-28.5420873006185
21569,-24.2301773071289
21568,-19.4708541870117
21567,-24.6460810343424
21566,-22.9986022949219
21565,-23.8428507486979
21564,-24.1220611572265
21563,-27.0054611206054
21562,-24.9936050415039
21561,-25.5319783528646
21560,-24.516823832194
21559,-25.4604960123698
21558,-22.8079869588216
21557,-21.94261525472
21556,-21.0355667114258
21555,-24.1014668782552
21554,-23.9271657307942
21553,-21.1820994059245
21552,-22.9915095011393
21551,-23.3039408365885
21550,-25.2291015625
21549,-23.5602554321289
21548,-22.1898915608724
21547,-29.2925221761067
21546,-22.3928181966146
21545,-24.6316131591797
21544,-24.6468668619791
21543,-28.1517852783203
21542,-28.2475087483724
21541,-22.0599146525065
21540,-21.8173253377278
21539,-19.9768254597982
21538,-24.0862691243489
21537,-22.6498601277669
21536,-23.5840031941732
