"Calendar years [yr BP]","Average yearly mean temperature [degree C]"
21999,-9.31555023193357
21998,-13.5488329569498
21997,-10.7229242960612
21996,-7.69718780517576
21995,-8.96286621093748
21994,-6.63134613037107
21993,-8.02655131022133
21992,-8.61514256795245
21991,-8.22262674967446
21990,-8.97763671874998
21989,-11.6130521138509
21988,-8.54115651448565
21987,-9.10491663614907
21986,-8.13717244466144
21985,-9.1853317260742
21984,-8.49223556518552
21983,-8.40797017415362
21982,-7.08379084269203
21981,-9.00251490275063
21980,-8.72016499837237
21979,-7.88128763834633
21978,-7.71019592285154
21977,-7.87790527343748
21976,-7.35510101318357
21975,-6.37164408365883
21974,-7.47365926106769
21973,-8.00073598225909
21972,-8.40499979654946
21971,-7.44243469238279
21970,-9.16222229003904
21969,-8.46737899780271
21968,-7.84168217976886
21967,-7.58650182088214
21966,-9.33450291951495
21965,-9.73057912190753
21964,-7.84973882039386
21963,-7.47260386149086
21962,-8.27066904703774
21961,-8.67738952636716
21960,-8.4973803202311
21959,-9.58223444620766
21958,-8.55259043375649
21957,-6.97786560058591
21956,-7.37809982299802
21955,-6.53711293538409
21954,-8.84249979654946
21953,-8.49076690673826
21952,-10.347026570638
21951,-7.73256530761716
21950,-7.79979934692381
21949,-7.90343704223631
21948,-8.8244550069173
21947,-7.71535085042315
21946,-8.01051940917966
21945,-7.58291091918943
21944,-6.50268147786456
21943,-10.3401359558105
21942,-7.16385243733722
21941,-10.4621007283528
21940,-7.24577941894529
21939,-8.2223075866699
21938,-7.89144490559894
21937,-8.40718943277992
21936,-9.6578061421712
21935,-8.47084782918292
21934,-4.97103474934894
21933,-8.04947128295896
21932,-7.85779037475584
21931,-9.6344907124837
21930,-7.08063990275063
21929,-7.67728144327797
21928,-8.60787684122719
21927,-8.47721455891925
21926,-7.35876566569008
21925,-8.2192927042643
21924,-8.02636947631834
21923,-8.55434773763019
21922,-11.8556821187337
21921,-7.77196350097654
21920,-10.4335540771484
21919,-7.41484680175779
21918,-7.62406514485675
21917,-8.86919123331703
21916,-7.63823928833006
21915,-8.11412531534828
21914,-8.57888895670571
21913,-8.86814219156899
21912,-8.02356313069659
21911,-8.95199050903318
21910,-8.08398666381834
21909,-7.20675888061521
21908,-8.31248830159503
21907,-6.96276702880857
21906,-8.71487147013344
21905,-7.0655807495117
21904,-8.12403589884438
21903,-8.5452204386393
21902,-8.50231272379555
21901,-8.01738077799477
21900,-10.3565544128418
21899,-7.25067749023435
21898,-9.61725082397459
21897,-9.51147689819334
21896,-7.70310821533201
21895,-6.78685099283852
21894,-7.55305582682289
21893,-9.09815572102862
21892,-12.3257507324219
21891,-10.2529612223307
21890,-10.5896375020345
21889,-9.07893473307289
21888,-13.3280700683594
21887,-10.193643951416
21886,-7.36267191569008
21885,-8.11616236368813
21884,-8.36534220377602
21883,-8.90022125244138
21882,-12.5592737833659
21881,-7.80864562988279
21880,-8.76892827351886
21879,-8.56302871704099
21878,-8.12549692789711
21877,-7.03546244303383
21876,-7.44699961344399
21875,-10.1431805928548
21874,-12.4070037841797
21873,-9.85342127482094
21872,-7.79931996663409
21871,-7.6045097351074
21870,-8.14757639567055
21869,-9.76747105916339
21868,-7.80946706136065
21867,-7.66234690348305
21866,-7.27030919392901
21865,-8.30301767985024
21864,-7.30474319458006
21863,-8.69555002848305
21862,-7.62040303548175
21861,-7.04565785725909
21860,-10.4599848429362
21859,-6.78933944702146
21858,-7.1357114156087
21857,-8.65439453124998
21856,-9.69041544596352
21855,-7.34003041585284
21854,-7.01126454671222
21853,-8.0424725850423
21852,-7.28565572102862
21851,-7.68402201334633
21850,-6.95909220377602
21849,-8.29288457234698
21848,-8.76913808186847
21847,-10.0821873982747
21846,-8.29345296223956
21845,-7.67556355794269
21844,-9.73568318684894
21843,-9.9655199686686
21842,-10.4599797566732
21841,-8.59980621337888
21840,-7.85595041910805
21839,-10.745640818278
21838,-7.96595865885414
21837,-8.48601252237953
21836,-8.09415283203123
21835,-9.69430898030597
21834,-6.73965047200519
21833,-6.98269246419269
21832,-7.221538289388
21831,-6.83439229329425
21830,-7.58524551391599
21829,-9.12121175130206
21828,-8.50887018839516
21827,-8.71658554077146
21826,-7.71455230712888
21825,-8.43900019327797
21824,-9.16071421305336
21823,-7.25629272460935
21822,-8.27738164265948
21821,-9.81436767578123
21820,-9.46915918986
21819,-7.51284128824868
21818,-8.17256266276039
21817,-9.36133804321287
21816,-11.0396191914876
21815,-8.67045949300128
21814,-7.99725189208982
21813,-8.09895807902016
21812,-9.11946589152016
21811,-7.33611907958982
21810,-11.6568791707357
21809,-7.98994293212888
21808,-10.1837244669596
21807,-8.38709233601886
21806,-8.25015360514321
21805,-9.87962061564125
21804,-8.10611826578774
21803,-7.55673446655271
21802,-7.17268218994138
21801,-6.65684611002602
21800,-7.7184496561686
21799,-7.89780527750649
21798,-8.16693089803058
21797,-10.9274569193522
21796,-8.54862314860024
21795,-7.26598205566404
21794,-7.42047220865883
21793,-6.3254684448242
21792,-6.88191706339516
21791,-7.48934783935545
21790,-8.01703999837237
21789,-8.32852147420245
21788,-8.68683471679685
21787,-11.6991358439127
21786,-11.460738881429
21785,-7.80662002563474
21784,-9.86648661295571
21783,-8.86707661946612
21782,-7.61261596679685
21781,-7.71475702921547
21780,-6.62823333740232
21779,-8.45369059244789
21778,-11.7446540832519
21777,-7.2583297729492
21776,-8.01269378662107
21775,-9.77169392903644
21774,-8.89690119425453
