"Full hydrological years [yr BP]","Average yearly mean temperature [degree C]"
21998,-12.4131225585937
21997,-10.1804044087728
21996,-8.93610992431638
21995,-8.72794825236
21994,-7.63605728149412
21993,-7.4363591512044
21992,-9.07483139038084
21991,-8.03936869303383
21990,-8.75459391276039
21989,-11.7769493103027
21988,-8.83209075927732
21987,-9.5258964538574
21986,-7.23526102701821
21985,-9.33825785319008
21984,-8.6062072753906
21983,-7.91998265584308
21982,-8.07321904500323
21981,-8.1958437601725
21980,-8.08344116210935
21979,-9.28354492187498
21978,-6.55048217773435
21977,-8.95763498942055
21976,-7.37522989908852
21975,-6.08183390299477
21974,-7.58299102783201
21973,-7.32860285441078
21972,-9.03560612996417
21971,-7.27249501546222
21970,-9.1793502807617
21969,-8.10781453450519
21968,-8.74819285074867
21967,-6.64867121378578
21966,-8.43655751546222
21965,-10.4161298116048
21964,-8.51061986287433
21963,-7.62971089680987
21962,-7.90846099853513
21961,-8.01834208170571
21960,-8.93129450480141
21959,-10.1799975077311
21958,-8.07595163981117
21957,-7.31875712076821
21956,-7.22909774780271
21955,-6.87994232177732
21954,-8.54534505208331
21953,-7.61062215169269
21952,-9.53608042399086
21951,-9.84139607747394
21950,-7.28289769490558
21949,-8.61709314982094
21948,-7.9596860249837
21947,-7.97708740234373
21946,-7.84298299153644
21945,-8.29638646443683
21944,-6.23380889892576
21943,-9.73230717976886
21942,-7.25709889729815
21941,-10.8040807088216
21940,-6.97513427734373
21939,-7.91265716552732
21938,-7.72228978474933
21937,-8.45882771809894
21936,-9.97280349731443
21935,-9.4309740702311
21934,-5.33431854248045
21933,-6.58003463745115
21932,-8.82169062296547
21931,-7.66833470662433
21930,-8.58149948120115
21929,-8.41212437947589
21928,-6.67519861857094
21927,-9.54104207356769
21926,-7.3491755167643
21925,-7.66618576049802
21924,-8.52908681233722
21923,-8.76817169189451
21922,-10.1231356302897
21921,-9.63266601562498
21920,-10.0109161376953
21919,-7.92414449055987
21918,-7.15918324788409
21917,-8.8504076639811
21916,-8.16839065551756
21915,-7.18496424357094
21914,-8.92857971191404
21913,-9.19930369059242
21912,-7.72649230957029
21911,-8.85625432332355
21910,-9.39713261922198
21909,-6.4494321187337
21908,-8.2384831746419
21907,-6.59599660237628
21906,-9.01573155721026
21905,-7.04371490478513
21904,-8.19635238647459
21903,-8.27616729736326
21902,-8.25232798258461
21901,-8.1055486043294
21900,-10.2243929545084
21899,-7.70516306559243
21898,-10.5673494974772
21897,-7.42615865071612
21896,-8.33053436279295
21895,-7.92418136596677
21894,-7.09892374674477
21893,-8.33589019775388
21892,-12.5300048828125
21891,-9.19392115275063
21890,-12.0964696248372
21889,-8.22969919840492
21888,-13.8215774536133
21887,-10.2722877502441
21886,-7.81122182210284
21885,-7.65458908081052
21884,-7.87429402669269
21883,-8.52164560953774
21882,-12.4952529907226
21881,-8.66366424560545
21880,-8.05780385335284
21879,-9.20064646402992
21878,-8.27730280558266
21877,-7.43780237833657
21876,-7.31169484456378
21875,-10.0236941019694
21874,-11.9334765116373
21873,-9.50985438028969
21872,-9.04495722452797
21871,-7.131024424235
21870,-7.0018371582031
21869,-10.4957641601562
21868,-8.4938886006673
21867,-6.76250305175779
21866,-7.74803009033201
21865,-8.34118118286131
21864,-7.75483423868813
21863,-7.75843276977537
21862,-7.82383702596026
21861,-7.15908406575519
21860,-9.99020105997719
21859,-8.0422424316406
21858,-6.78347498575844
21857,-8.74550984700519
21856,-9.62112019856769
21855,-7.36718597412107
21854,-7.340678914388
21853,-7.98870824178058
21852,-7.26428324381508
21851,-7.11691640218097
21850,-7.59711049397784
21849,-7.49203211466469
21848,-7.20796051025388
21847,-9.85749918619789
21846,-10.3229202270508
21845,-7.63342132568357
21844,-9.69514567057289
21843,-9.1342948913574
21842,-11.2078282674153
21841,-8.21558481852211
21840,-8.79799499511716
21839,-9.00433069864907
21838,-10.0336237589518
21837,-7.84119389851886
21836,-8.3149220784505
21835,-8.3566472371419
21834,-8.15457255045571
21833,-6.69584757486977
21832,-6.94124450683591
21831,-7.68332773844399
21830,-6.5977361043294
21829,-9.44092788696287
21828,-8.10572280883787
21827,-9.53796106974282
21826,-7.62941335042315
21825,-8.61243413289386
21824,-7.70158487955727
21823,-8.86999359130857
21822,-7.4001042683919
21821,-9.87554906209308
21820,-9.22999293009438
21819,-7.58877156575519
21818,-9.22966105143227
21817,-8.01066818237302
21816,-10.3608980814616
21815,-10.0576563517252
21814,-7.41853434244789
21813,-8.91389439900714
21812,-8.95908584594724
21811,-7.07659505208331
21810,-10.2038533528646
21809,-9.91858774820961
21808,-9.51830139160154
