"Winter months (October to March) of hydrological
 years [yr BP]","Average winter mean temperature [degree C]"
21998,-21.172959391276
21997,-18.3321314493815
21996,-15.1635752360026
21995,-14.4419082641601
21994,-13.0252975463867
21993,-12.2960927327474
21992,-14.362038675944
21991,-13.1295888264974
21990,-13.7834431966146
21989,-18.2069992065429
21988,-13.7960723876953
21987,-16.0726913452148
21986,-12.4755869547526
21985,-15.7045247395833
21984,-15.559678141276
21983,-12.085442606608
21982,-14.2822301228841
21981,-12.8904301961263
21980,-13.835806274414
21979,-15.3776153564453
21978,-10.2792012532552
21977,-15.0739349365234
21976,-12.6192637125651
21975,-10.3638875325521
21974,-12.5932271321614
21973,-12.1985102335612
21972,-15.995334370931
21971,-12.1929128011067
21970,-16.5442667643229
21969,-13.632426961263
21968,-14.8950612386067
21967,-10.9793228149414
21966,-13.8585164388021
21965,-17.0413396199544
21964,-14.4825424194336
21963,-13.0110636393229
21962,-13.7012593587239
21961,-13.8655049641927
21960,-16.0693038940429
21959,-16.4059331258138
21958,-13.7136240641276
21957,-12.8305674235026
21956,-12.4791651407877
21955,-10.9581563313802
21954,-15.0682891845703
21953,-11.852891031901
21952,-16.5776987711588
21951,-16.9228983561198
21950,-11.2335647583008
21949,-15.1402420043945
21948,-12.7073908487955
21947,-13.1402903238932
21946,-13.3632670084635
21945,-14.8333114624023
21944,-10.6161458333333
21943,-17.3757359822591
21942,-12.3383392333984
21941,-16.6713673909505
21940,-12.0933237711588
21939,-13.1020823160807
21938,-13.0512680053711
21937,-13.839219156901
21936,-17.9789362589518
21935,-17.1271194458008
21934,-9.06075134277341
21933,-10.771213277181
21932,-15.065657043457
21931,-13.4249201456705
21930,-14.9276870727539
21929,-14.3892807006836
21928,-11.2762944539388
21927,-17.281586710612
21926,-12.7363901774088
21925,-13.5754480997721
21924,-14.3242095947265
21923,-14.8181874593099
21922,-17.0523615519206
21921,-16.8625142415364
21920,-15.7764088948567
21919,-13.1838083902995
21918,-11.7312886555989
21917,-15.1296625773112
21916,-14.0745274861653
21915,-12.0635360717773
21914,-16.0857452392578
21913,-15.5864471435547
21912,-13.3690297444661
21911,-15.61693166097
21910,-16.4700963338216
21909,-10.5942825317383
21908,-14.0309458414713
21907,-10.8794514973958
21906,-15.4776545206705
21905,-11.9086975097656
21904,-13.6515640258789
21903,-14.0826477050781
21902,-12.9723215738932
21901,-13.3535471598307
21900,-17.0619338989258
21899,-12.3566853841146
21898,-18.3853337605794
21897,-11.9209554036458
21896,-14.1905527750651
21895,-13.5697565714518
21894,-11.975434366862
21893,-12.4355072021484
21892,-21.4028127034505
21891,-14.3450861612955
21890,-21.1128448486328
21889,-12.7330383300781
21888,-22.9041707356771
21887,-15.553210957845
21886,-12.6406921386719
21885,-12.9861282348633
21884,-13.480317179362
21883,-14.0922607421875
21882,-21.9383555094401
21881,-14.9078125
21880,-13.0805419921875
21879,-15.4721028645833
21878,-14.344714864095
21877,-12.2993657430013
21876,-12.2600972493489
21875,-16.8929326375325
21874,-19.917957051595
21873,-15.9545120239258
21872,-15.7064549763997
21871,-12.3536361694336
21870,-12.1849833170573
21869,-18.1735544840495
21868,-13.7136723836263
21867,-11.289663696289
21866,-13.4198974609375
21865,-13.4974655151367
21864,-12.5398544311523
21863,-13.6364171346028
21862,-13.3060033162435
21861,-12.1030944824219
21860,-16.2320948282877
21859,-13.431499226888
21858,-11.2024724324544
21857,-14.3668223063151
21856,-15.6991994222005
21855,-12.6530110677083
21854,-11.8632212320963
21853,-14.1758916219075
21852,-11.3724578857422
21851,-12.5279907226562
21850,-12.3851735432942
21849,-12.3411646525065
21848,-12.6603912353515
21847,-16.9001627604166
21846,-17.7604024251302
21845,-12.1843882242838
21844,-16.649018351237
21843,-15.2999455769857
21842,-19.946646118164
21841,-14.007666015625
21840,-14.7301544189453
21839,-16.2381373087565
21838,-17.5419321695963
21837,-11.7953425089518
21836,-14.0958669026692
21835,-14.4969034830729
21834,-14.3252014160156
21833,-11.4850728352864
21832,-11.8950714111328
21831,-13.267680867513
21830,-10.8074910481771
21829,-15.4291061401367
21828,-13.5699905395508
21827,-15.9636927286784
21826,-12.7097127278646
21825,-14.612033589681
21824,-12.946875
21823,-15.5287790934245
21822,-12.1630767822265
21821,-16.3494501749674
21820,-14.5601079305013
21819,-12.2403930664062
21818,-15.4370432535807
21817,-12.4100224812825
21816,-16.5609725952148
21815,-17.653901163737
21814,-13.0395619710286
21813,-15.4289891560872
21812,-14.7703587849935
21811,-10.3501393636067
21810,-14.6357432047526
21809,-16.9794525146484
21808,-15.6441050211588
21807,-15.528303527832
21806,-12.287456258138
21805,-12.8911855061849
21804,-16.9112075805664
21803,-13.2013534545898
21802,-11.7193206787109
21801,-12.7221486409505
21800,-12.0391423543294
21799,-11.1874323527018
21798,-12.6530390421549
21797,-18.3928868611653
21796,-15.8350967407226
21795,-12.8054056803385
21794,-11.8264678955078
21793,-10.5383972167969
21792,-12.2484217325846
21791,-11.1467346191406
21790,-11.2102366129557
21789,-14.1313054402669
21788,-15.6355550130208
21787,-15.462255859375
21786,-21.4885162353515
21785,-12.5606419881185
21784,-16.5167373657226
21783,-14.9687535603841
21782,-13.1163416544596
21781,-13.6106246948242
21780,-12.1941233317057
21779,-12.4641682942708
21778,-18.2979695638021
21777,-13.9702133178711
21776,-11.4482330322265
21775,-13.8251632690429
21774,-18.6465565999349
21773,-12.352896118164
21772,-13.133413696289
21771,-13.9501708984375
21770,-14.5109517415364
21769,-14.3326883951823
21768,-10.8046529134114
21767,-13.9060272216797
21766,-16.1419204711914
21765,-14.4096054077148
21764,-15.7099263509114
21763,-13.5023763020833
21762,-14.2907470703125
21761,-12.8911041259765
21760,-18.6841364542643
21759,-10.3160054524739
21758,-14.1377624511719
21757,-13.4472513834635
21756,-14.2511683146159
21755,-12.4012435913086
21754,-12.5957295735677
21753,-11.3038874308268
21752,-12.6353108723958
21751,-12.4772908528646
21750,-12.2456395467122
21749,-13.7558832804362
21748,-14.7659388224284
21747,-12.5886927286784
21746,-13.6353439331054
21745,-13.3858194986979
21744,-10.0216379801432
21743,-15.6241694132487
21742,-13.5123784383138
21741,-12.1896881103515
21740,-12.181260172526
21739,-10.9732727050781
21738,-14.9546900431315
21737,-15.9960108439127
21736,-14.7554534912109
21735,-14.2005294799804
21734,-12.2665568033854
21733,-17.2158721923828
21732,-14.6432428995768
21731,-10.6190577189127
21730,-19.8511947631836
21729,-13.7733189900716
21728,-14.9394719441732
21727,-11.4915730794271
21726,-12.9371475219726
21725,-11.8676564534505
21724,-10.4767110188802
21723,-17.541731262207
21722,-9.94075622558591
21721,-11.9614420572916
21720,-12.7180084228515
21719,-12.1783101399739
21718,-13.8057439168294
21717,-11.5171213785807
21716,-14.6624842325846
21715,-18.2654403686523
21714,-14.9533981323242
21713,-16.3853490193685
21712,-11.0915588378906
21711,-12.653901163737
21710,-17.0558303833008
21709,-16.8036254882812
21708,-10.7571268717448
21707,-11.8070892333984
21706,-13.2778305053711
21705,-12.0554005940755
21704,-14.8940795898437
21703,-18.2208516438802
21702,-15.0964391072591
21701,-15.8537684122721
21700,-17.6171452840169
21699,-12.7201395670573
21698,-16.1311350504557
21697,-14.2534876505534
21696,-11.7910827636719
21695,-15.110220336914
21694,-20.649766031901
21693,-16.2729527791341
21692,-12.4264205932617
21691,-13.9173060099284
21690,-22.9414937337239
21689,-13.2457539876302
21688,-14.9957412719726
21687,-12.485932413737
21686,-13.8805501302083
21685,-14.5915639241536
21684,-13.3459381103515
21683,-11.9112762451172
21682,-15.1668355305989
21681,-10.3161326090495
21680,-10.7921101888021
21679,-11.9665156046549
21678,-13.7568725585937
21677,-20.6929712931315
21676,-18.056255086263
21675,-12.6140579223633
21674,-14.7796132405599
21673,-11.618142191569
21672,-14.1028427124023
21671,-13.3376449584961
21670,-13.2890279134114
21669,-12.0329447428385
21668,-16.3022928873698
21667,-17.6929509480794
21666,-12.6676849365234
21665,-15.044775390625
21664,-16.411962890625
21663,-15.3686813354492
21662,-18.0305872599284
21661,-16.2949508666992
21660,-19.3983342488607
21659,-15.4560938517252
21658,-13.5231943766276
21657,-12.150747680664
21656,-15.0051305135091
21655,-15.7878479003906
21654,-16.3247512817383
21653,-15.4417098999023
21652,-13.4755996704101
21651,-13.2207702636719
21650,-16.9677490234375
21649,-15.4052413940429
21648,-15.1693074544271
21647,-12.9986328125
21646,-13.9275166829427
21645,-13.9930048624674
21644,-12.0288757324219
21643,-15.387444559733
21642,-12.0971435546875
21641,-12.7531112670898
21640,-14.2179041544596
21639,-15.2173828125
21638,-13.0859232584635
21637,-13.126318359375
21636,-13.2784306844075
21635,-15.9090840657552
21634,-12.8959487915039
21633,-12.0198170979817
21632,-14.102522277832
21631,-13.4214080810547
21630,-11.177353922526
21629,-14.7837432861328
21628,-14.1160822550455
21627,-12.8160410563151
21626,-14.7087972005208
21625,-16.9436681111653
21624,-10.0462758382161
21623,-13.4428314208984
