"Winter months (December-January-February) of each years [yr BP]","Average winter mean temperature [degree C]"
21998,-26.033316040039
21997,-26.6573801676432
21996,-14.3455057779948
21995,-18.4545094807942
21994,-18.7396555582682
21993,-16.5529642740885
21992,-18.039399210612
21991,-17.9672403971354
21990,-14.6000528971354
21989,-20.5647186279297
21988,-16.6994791666666
21987,-18.8625345865885
21986,-17.0037902832031
21985,-21.4310974121094
21984,-19.8898173014323
21983,-16.3309438069661
21982,-16.5657053629557
21981,-17.3494883219401
21980,-18.4996398925781
21979,-18.1050577799479
21978,-12.8586486816406
21977,-18.817978922526
21976,-15.9276082356771
21975,-12.7570353190104
21974,-15.1302551269531
21973,-16.3709726969401
21972,-22.0876169840495
21971,-13.2063456217448
21970,-18.9873057047526
21969,-17.0521606445312
21968,-21.391221110026
21967,-14.0833852132161
21966,-14.5860656738281
21965,-19.2360544840495
21964,-15.7802642822265
21963,-16.7214619954427
21962,-20.3919026692708
21961,-18.2838602701823
21960,-23.587271118164
21959,-19.9403137207031
21958,-13.1657216389974
21957,-14.1049967447916
21956,-17.0359608968099
21955,-11.7803507486979
21954,-16.8617207845052
21953,-14.9841064453125
21952,-19.7221435546875
21951,-20.9280456542969
21950,-13.6252756754557
21949,-21.6747650146484
21948,-16.1764129638672
21947,-16.0576944986979
21946,-18.5668802897135
21945,-18.2802134195963
21944,-12.7782450358073
21943,-22.8296875
21942,-15.1647908528646
21941,-23.8865010579427
21940,-16.623876953125
21939,-15.9463562011719
21938,-16.0881764729817
21937,-19.4352478027344
21936,-25.9500946044922
21935,-21.198090616862
21934,-10.0361592610677
21933,-13.7080596923828
21932,-18.1585194905599
21931,-17.7160654703776
21930,-17.063589477539
21929,-17.6381947835286
21928,-14.9340016682942
21927,-21.0209920247396
21926,-15.6280578613281
21925,-15.3462534586588
21924,-16.9510762532552
21923,-18.1961832682291
21922,-22.6880096435547
21921,-16.0147155761719
21920,-18.8238128662109
21919,-14.6531636555989
21918,-14.7259175618489
21917,-18.0229654947916
21916,-15.7436431884765
21915,-17.0233367919922
21914,-20.1707824707031
21913,-20.6450561523437
21912,-17.7492228190104
21911,-20.2202260335286
21910,-19.2886108398437
21909,-14.2141123453776
21908,-17.7444010416666
21907,-12.3104207356771
21906,-17.3059499104817
21905,-14.5441446940104
21904,-18.0527760823567
21903,-20.1732543945312
21902,-14.7752136230469
21901,-15.6128194173177
21900,-22.1974294026692
21899,-14.2746948242187
21898,-29.0674245198567
21897,-15.6697957356771
21896,-17.1003682454427
21895,-17.2956349690755
21894,-14.7607381184896
21893,-13.5080423990885
21892,-30.1318674723307
21891,-16.6101796468099
21890,-25.3922637939453
21889,-14.6886149088541
21888,-29.9249633789062
21887,-18.3312693277995
21886,-15.6044576009114
21885,-14.7672180175781
21884,-16.7499348958333
21883,-16.4565897623698
21882,-25.6383270263672
21881,-17.7321126302083
21880,-16.7657735188802
21879,-17.7645884195963
21878,-15.8262186686198
21877,-15.581167602539
21876,-15.7993835449219
21875,-22.4363413492838
21874,-29.5061045328776
21873,-22.1571360270182
21872,-20.0260732014974
21871,-15.2330739339192
21870,-16.6166646321614
21869,-24.6145792643229
21868,-15.9401153564453
21867,-12.1200317382812
21866,-16.2178202311198
21865,-17.1835235595703
21864,-13.4467580159505
21863,-16.0220347086588
21862,-16.8559885660807
21861,-12.6502136230469
21860,-19.8347788492838
21859,-14.8967549641927
21858,-14.9476938883463
21857,-19.4303548177083
21856,-23.306005859375
21855,-14.5743672688802
21854,-13.6433369954427
21853,-19.712260945638
21852,-15.8968566894531
21851,-15.683203125
21850,-16.6634684244791
21849,-17.0551462809245
21848,-15.115342203776
21847,-25.3310099283854
21846,-21.6647298177083
21845,-13.3584757486979
21844,-21.6055867513021
21843,-19.6730051676432
21842,-28.9704650878906
21841,-17.2782653808594
21840,-19.0605631510416
21839,-24.8787851969401
21838,-19.1121022542317
21837,-14.3107208251953
21836,-17.5233317057291
21835,-18.1283223470052
21834,-17.009375
21833,-13.8172770182291
21832,-15.1302652994791
21831,-15.660498046875
21830,-12.2683980305989
21829,-18.8135131835937
21828,-16.4033416748047
21827,-20.2522694905599
21826,-14.9643361409505
21825,-16.2303680419922
21824,-14.8074249267578
21823,-15.0677093505859
21822,-15.6396850585937
21821,-21.713959757487
21820,-14.6905782063802
21819,-12.7201599121094
21818,-19.3408772786458
21817,-16.8046783447265
21816,-23.0002146402995
21815,-21.4346577962239
21814,-16.7444722493489
21813,-17.4163777669271
21812,-19.3001108805338
21811,-11.5593729654948
21810,-16.6856241861979
21809,-19.8245300292969
21808,-21.8877421061198
21807,-19.955923461914
21806,-15.1686665852864
21805,-15.5117655436198
21804,-20.0243642171224
21803,-15.7607533772786
21802,-13.7436889648437
21801,-16.4336303710937
21800,-15.322378540039
21799,-13.0101481119791
21798,-17.127788289388
21797,-26.5471303304036
21796,-18.0966145833333
21795,-15.7164672851562
21794,-14.534765625
21793,-12.3998779296875
21792,-14.7207041422526
21791,-14.40537109375
21790,-12.662949625651
21789,-16.0083424886067
21788,-21.7362528483073
21787,-20.0468811035156
21786,-29.6684071858724
21785,-13.0224873860677
21784,-19.8912618001302
21783,-16.7436024983724
21782,-14.5003672281901
21781,-15.9419769287109
21780,-13.785508219401
21779,-17.7072408040364
21778,-20.7762715657552
21777,-17.0992645263672
21776,-14.6111511230469
21775,-15.6126312255859
21774,-24.9390421549479
21773,-14.018662516276
21772,-15.0155395507812
21771,-14.8630991617838
21770,-17.8173380533854
21769,-18.2033142089844
21768,-12.1615661621094
21767,-17.2556722005208
21766,-18.797476196289
21765,-18.9080108642578
21764,-16.3367014567057
21763,-15.4158081054687
21762,-16.515005493164
21761,-14.5871439615885
21760,-24.3748840332031
21759,-11.3766540527344
21758,-14.7214416503906
21757,-14.7983459472656
21756,-15.2054758707682
21755,-13.9233357747396
21754,-16.8295043945312
21753,-15.305288696289
21752,-14.1511800130208
21751,-16.3714050292969
21750,-16.1672678629557
21749,-18.6233530680338
21748,-21.4553538004557
21747,-15.834809366862
21746,-16.750601196289
21745,-14.3710591634114
21744,-13.1639668782552
21743,-16.7324483235677
21742,-15.6611287434896
21741,-15.0660664876302
21740,-12.9566609700521
21739,-13.6876180013021
21738,-15.9748697916666
21737,-20.6971852620442
21736,-17.037705485026
21735,-16.5250559488932
21734,-15.0559549967448
21733,-21.6971903483073
21732,-19.2523508707682
21731,-12.4382436116536
21730,-27.7367818196614
21729,-17.9928497314453
21728,-17.1300364176432
21727,-13.2999328613281
21726,-16.6952931722005
21725,-14.3282430013021
21724,-11.9284830729166
21723,-20.1027994791666
21722,-11.5453348795573
21721,-14.8092203776041
21720,-13.6217814127604
21719,-14.9968424479166
21718,-18.7711191813151
21717,-13.8706522623698
21716,-18.5877136230469
21715,-24.3440765380859
21714,-18.6115325927734
21713,-19.1942250569661
21712,-11.6407023111979
21711,-16.4224405924479
21710,-22.9242004394531
21709,-22.183213297526
21708,-13.9694274902344
21707,-13.0005859375
21706,-17.3936370849609
21705,-15.0862589518229
21704,-17.7203023274739
21703,-16.4056966145833
21702,-19.1187245686849
21701,-19.2248443603515
21700,-19.5894327799479
21699,-14.8149881998698
21698,-20.2925323486328
21697,-17.8988962809245
21696,-13.4060526529948
21695,-20.1452697753906
21694,-30.0157938639323
21693,-19.8136606852213
21692,-16.7213755289713
21691,-18.5680246988932
21690,-32.5740315755208
21689,-16.9777486165364
21688,-19.5012013753255
21687,-13.5071980794271
21686,-17.0017252604166
21685,-15.2356628417969
21684,-15.3687906901041
21683,-16.8762573242187
21682,-18.3060465494791
21681,-12.9213521321614
21680,-13.4908203125
21679,-13.6134755452474
21678,-16.5140950520833
21677,-29.6689361572265
21676,-22.3501291910807
21675,-12.7970235188802
21674,-17.7591156005859
21673,-15.2147328694661
21672,-16.7897959391276
21671,-18.5581675211588
21670,-16.9460306803385
21669,-14.1124633789062
21668,-18.8241383870442
21667,-22.8600677490234
21666,-15.3578501383463
21665,-21.4439860026041
21664,-19.8188079833984
21663,-19.4277760823567
21662,-26.1009735107422
21661,-19.4934244791666
21660,-25.4882212320963
21659,-21.2925120035807
21658,-16.3008178710937
21657,-13.9214538574219
21656,-18.2243865966797
21655,-16.8489237467448
21654,-19.1763519287109
21653,-20.7797861735026
21652,-16.7006540934245
21651,-15.6328287760416
21650,-19.8496358235677
21649,-18.2012440999349
21648,-18.6756245930989
21647,-13.1373860677083
21646,-16.0608683268229
21645,-19.7898366292317
21644,-16.9815124511719
21643,-19.6333628336588
21642,-14.0440124511719
21641,-16.2956960042317
21640,-19.1364349365234
21639,-20.8923706054687
21638,-15.5850280761719
21637,-19.6703857421875
21636,-13.8112955729166
21635,-20.2979899088541
21634,-16.2394317626953
21633,-14.0009826660156
21632,-20.2916575113932
21631,-16.6422383626302
21630,-12.5983947753906
21629,-19.3750671386719
21628,-14.0113484700521
21627,-16.8366760253906
21626,-20.1699178059896
21625,-18.7688659667969
21624,-13.9096944173177
21623,-16.8390462239583
21622,-22.837016805013
21621,-15.9274607340495
21620,-21.084076944987
21619,-16.1702229817708
21618,-15.1406107584635
21617,-16.6137603759765
21616,-16.9024820963541
21615,-20.6643686930338
21614,-18.269873046875
21613,-23.7506215413411
21612,-19.165869140625
21611,-16.0803334554036
21610,-20.2817545572916
21609,-17.6965240478515
21608,-15.4316162109375
21607,-16.6220001220703
21606,-18.8115956624349
21605,-24.0922607421875
21604,-20.5336466471354
21603,-19.3089152018229
21602,-21.3912719726562
21601,-20.7235982259114
21600,-15.7571523030599
21599,-20.4281422932942
21598,-17.8572347005208
21597,-18.4588175455729
21596,-18.2855794270833
21595,-25.9595906575521
21594,-12.9084737141927
21593,-14.6458190917969
21592,-15.9871988932291
21591,-14.7165486653646
21590,-14.8623107910156
21589,-18.5144307454427
21588,-19.4238444010416
21587,-17.8320780436198
21586,-12.493744913737
21585,-21.2546040852864
21584,-16.6786356608073
21583,-16.1792460123698
21582,-15.2868255615234
21581,-22.922476196289
21580,-18.8195353190104
21579,-16.7991343180338
21578,-16.6911529541015
21577,-15.8790395100911
21576,-15.6525634765625
21575,-15.8832763671875
21574,-15.8292958577474
21573,-16.6429707845052
21572,-15.9200958251953
21571,-15.9793253580729
21570,-15.5432240804036
21569,-16.899267578125
21568,-11.7524169921875
21567,-16.395112101237
21566,-14.9092976888021
21565,-20.6485911051432
21564,-16.0633046468099
21563,-22.4882873535156
21562,-22.5026662190755
21561,-15.3864451090495
21560,-17.762060546875
21559,-19.5721496582031
21558,-12.6405700683594
21557,-18.413666788737
21556,-12.8905700683594
21555,-16.3960276285807
21554,-16.6393239339192
21553,-16.1857309977213
21552,-14.2644663492838
21551,-14.9471089680989
21550,-17.7099365234375
21549,-15.4207010904948
21548,-15.531591796875
21547,-30.7084971110026
21546,-19.4641835530599
21545,-21.8371337890625
21544,-17.9529073079427
21543,-21.8917297363281
21542,-18.5789245605469
21541,-14.435893758138
21540,-16.7526865641276
21539,-14.4681762695312
21538,-14.5240132649739
21537,-13.7022003173828
21536,-19.0449584960937
21535,-20.7694356282552
21534,-17.3021962483724
21533,-24.928081258138
21532,-12.7605346679687
21531,-18.7008524576823
21530,-15.100927734375
21529,-16.8157155354817
21528,-25.4845336914062
21527,-23.9929718017578
21526,-15.5638488769531
21525,-18.381211344401
21524,-17.6270711263021
21523,-15.9508371988932
21522,-18.9500793457031
21521,-16.8640604654948
21520,-17.8569498697916
21519,-19.5432291666666
21518,-23.7033548990885
21517,-13.5989542643229
21516,-27.3700164794922
21515,-16.2007049560547
21514,-19.3990030924479
21513,-17.1991078694661
21512,-25.3557037353515
21511,-18.9278778076172
21510,-25.9077972412109
21509,-21.1635752360026
21508,-18.9950673421224
21507,-19.373871866862
21506,-17.735932413737
21505,-20.3406331380208
21504,-17.3216003417969
21503,-19.8524892171224
21502,-17.8776713053385
21501,-16.4159403483073
21500,-26.1524922688802
21499,-15.7436431884765
21498,-16.8529418945312
21497,-16.6608693440755
21496,-15.0122334798177
21495,-16.5120859781901
21494,-19.6226765950521
21493,-19.9860544840495
21492,-21.5959584554036
21491,-19.943711344401
21490,-14.9127665201823
21489,-15.803818766276
21488,-15.4542246500651
21487,-18.2745930989583
21486,-11.4084431966146
21485,-20.4755157470703
21484,-16.4453491210937
21483,-14.6259521484375
21482,-21.5578420003255
21481,-20.566030883789
21480,-25.5395517985026
21479,-17.2622639973958
21478,-18.949819946289
21477,-15.5766408284505
21476,-18.8341735839844
21475,-13.8225870768229
21474,-17.5565958658854
21473,-20.5738637288411
21472,-19.7145243326823
21471,-16.3624328613281
21470,-20.9076039632161
21469,-14.9513814290364
21468,-18.8453938802083
21467,-18.5909484863281
21466,-19.285981241862
21465,-15.8617970784505
21464,-14.6256673177083
21463,-16.813818359375
21462,-19.5063893636067
21461,-17.249380493164
21460,-22.2328297932942
21459,-15.6213897705078
21458,-22.3867604573567
21457,-14.8291280110677
21456,-16.1983042399088
21455,-13.0952056884765
21454,-15.8872945149739
21453,-20.8643809000651
21452,-16.5250203450521
21451,-17.0994476318359
21450,-19.6688852945963
21449,-14.6997894287109
21448,-16.2641204833984
21447,-9.76763509114581
21446,-15.6327982584635
21445,-16.4171610514323
21444,-14.7847351074219
21443,-21.6958221435547
21442,-19.7011271158854
21441,-18.8173736572265
21440,-18.6649434407552
21439,-17.7101043701172
21438,-16.3975382486979
21437,-15.8475351969401
21436,-20.4106760660807
21435,-24.0516672770182
21434,-21.3006703694661
21433,-22.1332916259765
21432,-13.3242655436198
21431,-20.6660420735677
21430,-17.0169738769531
21429,-19.1228190104166
21428,-20.4466613769531
21427,-13.0310933430989
21426,-13.7717142740885
21425,-19.3944763183594
21424,-25.5056772867838
21423,-19.7038177490234
21422,-21.3630330403646
21421,-20.8872690836588
21420,-20.0736450195312
21419,-17.2351643880208
21418,-17.079682413737
21417,-17.7957875569661
21416,-18.8493916829427
21415,-24.5971232096354
21414,-26.0699015299479
21413,-17.2575795491536
21412,-17.5531880696614
21411,-19.149028523763
21410,-18.5270853678385
21409,-17.9117492675781
21408,-16.0797993977864
21407,-18.9116424560547
21406,-16.677582804362
21405,-18.1204945882161
21404,-17.2113759358724
21403,-11.5649373372396
21402,-16.5893971761067
21401,-15.4003204345703
21400,-18.1708841959635
21399,-18.5216990152995
21398,-14.1056376139323
21397,-15.1689921061198
21396,-24.4895538330078
21395,-17.5118367513021
21394,-15.3501241048177
21393,-28.9944519042969
21392,-18.2706868489583
21391,-19.6183939615885
21390,-19.6079722086588
21389,-12.90146484375
21388,-18.2733418782552
21387,-15.8444783528646
21386,-17.9472869873047
21385,-19.4130513509114
21384,-15.3084676106771
21383,-20.6795054117838
21382,-24.4733744303385
21381,-17.6590535481771
21380,-21.0031392415364
21379,-17.6277425130208
21378,-19.854833984375
21377,-17.1722015380859
21376,-24.0229451497396
21375,-24.1825113932291
21374,-14.6322794596354
21373,-13.1079671223958
21372,-21.8140167236328
21371,-16.6602844238281
21370,-19.7995056152344
21369,-18.6047322591146
21368,-19.271587117513
21367,-12.7221842447916
21366,-19.2566792805989
21365,-15.9980122884114
21364,-14.9953369140625
21363,-26.5145222981771
21362,-15.0487223307291
21361,-15.6414296468099
21360,-23.9544993082682
21359,-16.9389760335286
21358,-18.1700602213541
21357,-15.4426330566406
21356,-19.5280415852864
21355,-14.7567504882812
21354,-12.5761169433594
21353,-15.3504954020182
21352,-19.5232401529948
21351,-14.0039021809896
21350,-16.0720581054687
21349,-14.1103322347005
21348,-18.6127685546875
21347,-16.9741170247396
21346,-25.8998677571614
21345,-20.5291809082031
21344,-19.8911499023437
21343,-28.7831278483073
21342,-17.5671142578125
21341,-17.3601593017578
21340,-16.0469370524088
21339,-27.7314259847005
21338,-18.3622701009114
21337,-14.1635396321614
21336,-12.9663248697916
21335,-17.7063608805338
21334,-19.7326110839844
21333,-17.7674214680989
21332,-16.423188273112
21331,-14.7860982259114
21330,-17.1158101399739
21329,-15.8533996582031
21328,-18.5540730794271
21327,-13.2404897054036
21326,-13.1683715820312
21325,-23.2262176513672
21324,-16.1989654541015
21323,-20.778428141276
21322,-24.361191813151
21321,-25.126318359375
21320,-15.6344919840495
21319,-17.9975290934245
21318,-14.2448486328125
21317,-18.2597920735677
21316,-17.8200236002604
21315,-24.1061106363932
21314,-13.5221618652344
21313,-15.6171325683594
21312,-28.6096761067708
21311,-25.0344401041666
21310,-19.6313385009765
21309,-23.5925150553385
21308,-14.9538024902344
21307,-13.4322163899739
21306,-15.6814839680989
21305,-17.2336232503255
21304,-13.9031433105469
21303,-13.6050476074219
21302,-17.3512736002604
21301,-19.7650919596354
21300,-15.5026000976562
21299,-13.8760538736979
21298,-19.753281656901
21297,-21.3515838623047
21296,-18.2696594238281
21295,-17.0951599121094
21294,-14.9849507649739
21293,-17.1007954915364
21292,-20.2671010335286
21291,-17.5978607177734
21290,-17.0211293538411
21289,-19.9920104980469
21288,-18.8341328938802
21287,-21.7987375895182
21286,-14.3713389078776
21285,-15.3208526611328
21284,-16.8999186197916
21283,-16.8543762207031
21282,-17.2915761311849
21281,-25.2186391194661
21280,-19.8946543375651
21279,-28.6750091552734
21278,-18.0879221598307
21277,-14.513291422526
21276,-19.2836771647135
21275,-16.1904510498047
21274,-17.3329223632812
21273,-17.6859547932942
21272,-20.8198354085286
21271,-24.6344563802083
21270,-18.6454579671224
21269,-23.329941813151
21268,-14.9728607177734
21267,-15.0304117838541
21266,-16.4384419759114
21265,-20.0227569580078
21264,-17.6608693440755
21263,-13.6613830566406
21262,-19.3593760172526
21261,-18.2042958577474
21260,-18.1994283040364
21259,-13.6381693522135
21258,-20.6542470296224
21257,-13.7293253580729
21256,-12.7297831217448
21255,-18.988389078776
21254,-17.9443623860677
21253,-19.8150288899739
21252,-18.6986094156901
21251,-12.5108245849609
21250,-15.9068868001302
21249,-15.971050008138
21248,-17.4929209391276
21247,-20.1048543294271
21246,-17.6708791097005
21245,-23.4921274820963
21244,-14.3144185384114
21243,-19.3586486816406
21242,-15.3891306559245
21241,-15.1202809651692
21240,-15.029898071289
21239,-14.2970438639323
21238,-16.2696187337239
21237,-16.9521291097005
21236,-18.0891326904297
21235,-14.6394205729166
21234,-16.5156667073567
21233,-14.313828531901
21232,-20.2768971761067
21231,-22.093857828776
21230,-15.7180999755859
21229,-18.7444315592448
21228,-32.8979807535807
21227,-21.1793172200521
21226,-16.3064483642578
21225,-16.4143280029297
21224,-19.0171264648437
21223,-23.5509297688802
21222,-19.994487508138
21221,-16.1346649169922
21220,-20.8000854492187
21219,-16.8871724446614
21218,-20.9739491780599
21217,-15.2268127441406
21216,-20.4663401285807
21215,-17.8200693766276
21214,-24.8100240071614
21213,-15.5399281819661
21212,-21.6004089355469
21211,-17.5711730957031
21210,-16.1721252441406
21209,-16.7846181233724
21208,-16.4185190836588
21207,-23.1294413248698
21206,-24.0041056315104
21205,-20.7952382405599
21204,-21.4818227132161
21203,-19.5045481363932
21202,-21.1015329996745
21201,-14.9650024414062
21200,-19.5044158935547
21199,-14.0630401611328
21198,-19.0081797281901
21197,-15.817236328125
21196,-18.6095591227213
21195,-17.8297434488932
21194,-16.8380696614583
21193,-14.4810343424479
21192,-15.0220906575521
21191,-16.1946523030599
21190,-23.7353983561198
21189,-14.4124918619791
21188,-17.5562296549479
21187,-17.6491048177083
21186,-16.7223470052083
21185,-20.273285929362
21184,-19.4288391113281
21183,-19.3533182779948
21182,-19.4723419189453
21181,-19.4086059570312
21180,-12.1134297688802
21179,-17.2116607666015
21178,-15.6394307454427
21177,-15.4129292805989
21176,-18.9550994873047
21175,-19.1959950764974
21174,-15.0799825032552
21173,-17.091899617513
21172,-21.9955861409505
21171,-19.5500244140625
21170,-17.4189870198567
21169,-15.8862874348958
21168,-14.6474365234375
21167,-15.4001475016276
21166,-17.7719177246094
21165,-13.0014709472656
21164,-15.9882771809896
21163,-19.1725321451823
21162,-26.7577016194661
21161,-17.0054992675781
21160,-17.6386423746745
21159,-18.463247680664
21158,-16.841655476888
21157,-16.1945353190104
21156,-14.2344116210937
21155,-20.9649820963541
21154,-18.1943471272786
21153,-14.8774475097656
21152,-17.0300201416015
21151,-19.0230977376302
21150,-21.4705210367838
21149,-23.0963450113932
21148,-14.5066233317057
21147,-14.3198913574219
21146,-16.7761749267578
21145,-19.5651662190755
21144,-22.1022603352864
21143,-17.8687296549479
21142,-16.9047556559245
21141,-19.1695617675781
21140,-20.3590148925781
21139,-14.8529012044271
21138,-16.6742869059245
21137,-17.6006479899088
21136,-13.6015889485677
21135,-19.8709269205729
21134,-26.7194580078125
21133,-21.0459655761719
21132,-16.3830423990885
21131,-27.9155588785807
21130,-16.4340525309245
21129,-16.8442087809245
21128,-14.8514414469401
21127,-12.3322611490885
21126,-16.529898071289
21125,-17.3347178141276
21124,-16.6621917724609
21123,-13.6188822428385
21122,-17.3897308349609
21121,-19.4556894938151
21120,-20.7587646484375
21119,-18.4774281819661
21118,-20.5233774820963
21117,-21.6734731038411
21116,-16.86728515625
21115,-13.0607055664062
21114,-15.8217529296875
21113,-16.733491007487
21112,-18.1166849772135
21111,-22.5089172363281
21110,-13.9188191731771
21109,-22.486908976237
21108,-20.9111440022786
21107,-15.3205322265625
21106,-13.2206685384114
21105,-20.7404439290364
21104,-23.0691029866536
21103,-17.9382486979166
21102,-15.0157989501953
21101,-19.5441802978515
21100,-22.7071492513021
21099,-18.440044148763
21098,-19.5681162516276
21097,-17.8686279296875
21096,-19.339214070638
21095,-18.896836344401
21094,-17.4837249755859
21093,-29.7880767822265
21092,-19.2550618489583
21091,-17.6722015380859
21090,-16.8557596842448
21089,-22.1191975911458
21088,-13.8448140462239
21087,-16.9389709472656
21086,-16.505707804362
21085,-24.9649210611979
21084,-14.0746419270833
21083,-19.4319264729817
21082,-15.2807779947916
21081,-13.7083902994791
21080,-16.3054972330729
21079,-18.3371999104817
21078,-16.537201944987
21077,-17.7506774902344
21076,-15.8886423746745
21075,-19.3288889567057
21074,-18.6487284342448
21073,-15.966411336263
21072,-14.6096964518229
21071,-16.1477925618489
21070,-15.5642303466797
21069,-18.6773132324219
21068,-15.8587860107422
21067,-19.1143351236979
21066,-16.0633555094401
21065,-27.7117980957031
21064,-15.8831237792969
21063,-15.7572235107422
21062,-14.0380513509114
21061,-24.1491912841797
21060,-15.1714029947916
21059,-12.3883829752604
21058,-24.2893330891927
21057,-20.2307393391927
21056,-13.0691131591797
21055,-17.1239023844401
21054,-25.0650746663411
21053,-19.2402252197265
21052,-13.4952351888021
21051,-18.4488942464192
21050,-19.8657999674479
21049,-17.2103230794271
21048,-16.3724833170573
21047,-23.3381001790364
21046,-19.0268971761067
21045,-19.148291015625
21044,-18.9033976236979
21043,-18.3969075520833
21042,-19.919053141276
21041,-17.7158416748047
21040,-16.0083730061849
21039,-16.5124623616536
21038,-23.8256337483724
21037,-13.2765869140625
21036,-21.4904591878255
21035,-15.586782836914
21034,-21.2042297363281
21033,-23.3764760335286
21032,-16.8288533528646
21031,-18.7379720052083
21030,-21.8311828613281
21029,-21.1306467692057
21028,-18.5229909261067
21027,-17.4796254475911
21026,-15.5101582845052
21025,-14.6311706542969
21024,-16.3148152669271
21023,-18.884624226888
21022,-17.4055999755859
21021,-17.7723449707031
21020,-14.3190724690755
21019,-16.0151885986328
21018,-19.3703826904297
21017,-26.8539794921875
21016,-15.0666463216146
21015,-17.7087615966797
21014,-19.2064270019531
21013,-16.7332773844401
21012,-19.3177602132161
21011,-14.7993326822916
21010,-16.4121561686198
21009,-16.0721649169922
21008,-14.1140096028646
21007,-21.4922444661458
21006,-20.9636088053385
21005,-23.5238098144531
21004,-21.4464833577474
21003,-18.1761637369791
21002,-21.6484130859375
21001,-16.6509460449219
21000,-14.9083414713541
20999,-20.5834360758463
20998,-20.993521118164
20997,-26.0913045247396
20996,-13.1029418945312
20995,-20.2804931640625
20994,-22.0016845703125
20993,-18.8049123128255
20992,-17.4245513916015
20991,-20.8274342854817
20990,-20.6422993977864
20989,-19.9031941731771
20988,-18.2144734700521
20987,-16.9760345458984
20986,-25.2362681070963
20985,-25.2692067464192
20984,-21.4369873046875
20983,-21.1401936848958
20982,-18.6802734375
20981,-18.2319753011067
20980,-17.2546651204427
20979,-18.9788828531901
20978,-19.96884765625
20977,-19.4398356119791
20976,-23.5445821126302
20975,-26.0778564453125
20974,-24.0212514241536
20973,-17.1540537516276
20972,-17.8730021158854
20971,-18.7826904296875
20970,-14.4092163085937
20969,-19.411723836263
20968,-19.1351430257161
20967,-16.1491505940755
20966,-18.4747426350911
20965,-15.4987141927083
20964,-12.1922770182291
20963,-16.3971211751302
20962,-17.9702972412109
20961,-20.7136596679687
20960,-20.9840301513672
20959,-24.2941141764323
20958,-13.5292012532552
20957,-17.2140055338541
20956,-19.193217976888
20955,-18.3598236083984
20954,-20.387319946289
20953,-19.4967712402344
20952,-20.4481770833333
20951,-18.4627848307291
20950,-16.043325805664
20949,-20.5140645345052
20948,-18.2533325195312
20947,-24.4762481689453
20946,-17.9898895263672
20945,-18.2757832845052
20944,-18.9945943196614
20943,-21.8650014241536
20942,-14.7500366210937
20941,-13.6662862141927
20940,-13.7126220703125
20939,-12.8964599609375
20938,-17.5549733479817
20937,-20.4899149576823
20936,-17.5186930338541
20935,-26.4742899576823
20934,-15.5562703450521
20933,-23.4948079427083
20932,-19.1490793863932
20931,-16.2143920898437
20930,-17.6342783610026
20929,-17.6720387776692
20928,-20.9692291259765
20927,-17.8912414550781
20926,-16.2307952880859
20925,-18.3716186523437
20924,-16.7611958821614
20923,-19.8946848551432
20922,-13.7554280598958
20921,-21.1522888183594
20920,-14.8759419759114
20919,-23.1189025878906
20918,-18.9858459472656
20917,-19.3193216959635
20916,-17.1841135660807
20915,-15.4327555338541
20914,-15.2037821451823
20913,-20.3304962158203
20912,-18.307730102539
20911,-14.7460083007812
20910,-21.2157602945963
20909,-20.1190602620442
20908,-20.7809254964192
20907,-16.6043100992838
20906,-20.2271840413411
20905,-17.1263946533203
20904,-16.3070078531901
20903,-12.5121520996094
20902,-23.1976938883463
20901,-18.6314198811849
20900,-17.9503489176432
20899,-19.651953125
20898,-18.4164845784505
20897,-14.5484171549479
20896,-14.8885152180989
20895,-17.8243774414062
20894,-25.0529286702474
20893,-16.9213673909505
20892,-15.4860443115234
20891,-15.4663757324219
20890,-16.3188079833984
20889,-20.9704905192057
20888,-15.5199086507161
20887,-21.618994140625
20886,-21.121923828125
20885,-20.2105163574219
20884,-23.3731750488281
20883,-29.5908518473307
20882,-23.044785563151
20881,-19.2374582926432
20880,-15.0248423258463
20879,-17.5945444742838
20878,-20.5723124186198
20877,-19.8132792154948
20876,-14.8037577311198
20875,-17.6101847330729
20874,-17.6709299723307
20873,-14.941987101237
20872,-15.1673238118489
20871,-16.354600016276
20870,-13.3398905436198
20869,-20.7569641113281
20868,-16.3149220784505
20867,-24.2011474609375
20866,-14.5126963297526
20865,-18.4519358317057
20864,-17.0886596679687
20863,-16.7090515136719
20862,-20.5649119059245
20861,-15.6499338785807
20860,-18.9970815022786
20859,-16.1663472493489
20858,-21.3720102945963
20857,-16.7188985188802
20856,-19.6495880126953
20855,-15.3359029134114
20854,-17.2261260986328
20853,-16.8181264241536
20852,-19.8824015299479
20851,-13.0255696614583
20850,-19.095816040039
20849,-13.4199483235677
20848,-19.2135325113932
20847,-18.8364115397135
20846,-16.505967203776
20845,-16.9653330485026
20844,-18.36435546875
20843,-15.6832641601562
20842,-20.5798350016276
20841,-17.2436177571614
20840,-21.6039998372396
20839,-17.9397796630859
20838,-18.49814453125
20837,-28.689301554362
20836,-17.7609720865885
20835,-18.326523844401
20834,-16.9707448323567
20833,-18.4532836914062
20832,-24.3744974772135
20831,-15.6159830729166
20830,-14.4591888427734
20829,-16.3575602213541
20828,-17.335557047526
20827,-14.1794799804687
20826,-16.5233673095703
