"Summer months (Jule-July-August) of each years [yr BP]","Average summer mean temperature [degree C]"
21999,-0.120418294270811
21998,-0.503454589843727
21997,0.422224934895856
21996,-0.243180338541644
21995,-1.6383117675781
21994,-0.645452880859352
21993,-0.163885498046852
21992,-0.672288004557269
21991,-2.04428710937498
21990,-0.249772135416644
21989,-1.28221232096352
21988,-3.18052775065102
21987,-0.599330647786436
21986,-0.367376708984352
21985,-0.201340738932269
21984,-0.141516113281227
21983,-2.13002115885414
21982,0.306227620442731
21981,0.111291503906273
21980,-0.373337809244769
21979,0.00977986653648107
21978,-0.929256184895811
21977,-1.22066853841144
21976,-0.472672526041644
21975,0.451481119791689
21974,-0.806829833984352
21973,0.326796468098981
21972,0.369643147786481
21971,-0.340592447916644
21970,0.0328613281250227
21969,0.590997314453148
21968,-0.256638590494769
21967,0.486840820312523
21966,-0.855942789713519
21965,-1.48656819661456
21964,-0.239813232421852
21963,0.168786621093773
21962,0.223423258463564
21961,0.152907307942731
21960,0.780124918619814
21959,-1.73927408854164
21958,-0.236853027343727
21957,-0.463873291015602
21956,-0.495692952473936
21955,-0.0566772460937273
21954,-0.0876729329426856
21953,-1.6447814941406
21952,-0.389145914713519
21951,-0.523352050781227
21950,0.617354329427106
21949,-0.0630554199218523
21948,-0.0927490234374773
21947,-0.964442952473936
21946,-0.549281819661436
21945,-0.408880615234352
21944,0.264276123046898
21943,-0.0888122558593523
21942,-0.978786214192686
21941,-0.362697347005186
21940,-0.238277180989561
21939,-0.452103678385394
21938,-0.181148274739561
21937,-1.12251383463539
21936,0.213606770833356
21935,0.0516703287760644
21934,0.0040018717448144
21933,0.0594828287760644
21932,-0.298895263671852
21931,-0.142818196614561
21930,0.251397705078148
21929,-0.462337239583311
21928,-0.467057291666644
21927,0.0134521484375227
21926,0.337070719401064
21925,0.161370849609398
21924,-0.932521565755186
21923,-1.12635904947914
21922,-1.17564493815102
21921,-0.204107666015602
21920,-2.07524210611977
21919,-0.545812988281227
21918,-0.340144856770811
21917,-0.190944417317686
21916,-0.323706054687477
21915,-0.724798583984352
21914,0.318109130859398
21913,-0.711248779296852
21912,-0.532395426432269
21911,0.268823242187523
21910,0.0976806640625227
21909,-0.213140869140602
21908,-0.272975667317686
21907,-0.0422932942708106
21906,-0.588018798828102
21905,0.0313252766927311
21904,-0.525559488932269
21903,-0.377081298828102
21902,-2.03382975260414
21901,-1.08529256184894
21900,-1.68541056315102
21899,-0.463334147135394
21898,-1.30993245442706
21897,-0.466019694010394
21896,0.645125325520856
21895,-0.600032552083311
21894,-0.00342407226560226
21893,0.0556172688802311
