"Summer months (April to September) of hydrological
 years [yr BP]","Average summer mean temperature [degree C]"
21998,-3.65328572591144
21997,-2.02867736816404
21996,-2.70864461263019
21995,-3.01398824055987
21994,-2.24681701660154
21993,-2.57662556966144
21992,-3.78762410481769
21991,-2.94914855957029
21990,-3.72574462890623
21989,-5.34689941406248
21988,-3.86810913085935
21987,-2.97910156249998
21986,-1.99493509928383
21985,-2.97199096679685
21984,-1.65273640950519
21983,-3.7545227050781
21982,-1.86420796712237
21981,-3.50125732421873
21980,-2.33107604980466
21979,-3.18947448730466
21978,-2.82176310221352
21977,-2.84133504231769
21976,-2.13119608561196
21975,-1.79978027343748
21974,-2.57275492350258
21973,-2.45869547526039
21972,-2.07587788899737
21971,-2.35207722981769
21970,-1.8144337972005
21969,-2.58320210774737
21968,-2.6013244628906
21967,-2.31801961263019
21966,-3.01459859212237
21965,-3.79092000325519
21964,-2.53869730631508
21963,-2.24835815429685
21962,-2.11566263834633
21961,-2.17117919921873
21960,-1.79328511555987
21959,-3.95406188964841
21958,-2.43827921549477
21957,-1.80694681803383
21956,-1.97903035481769
21955,-2.80172831217446
21954,-2.02240091959633
21953,-3.36835327148435
21952,-2.49446207682289
21951,-2.7598937988281
21950,-3.33223063151039
21949,-2.09394429524737
21948,-3.21198120117185
21947,-2.81388448079425
21946,-2.32269897460935
21945,-1.75946146647133
21944,-1.85147196451821
21943,-2.08887837727862
21942,-2.17585856119789
21941,-4.93679402669269
21940,-1.85694478352862
21939,-2.72323201497394
21938,-2.39331156412758
21937,-3.07843627929685
21936,-1.96667073567706
21935,-1.73482869466144
21934,-1.60788574218748
21933,-2.38885599772133
21932,-2.57772420247394
21931,-1.9117492675781
21930,-2.23531188964841
21929,-2.43496805826821
21928,-2.0741027832031
21927,-1.80049743652341
21926,-1.96196085611977
21925,-1.75692342122394
21924,-2.73396402994789
21923,-2.71815592447914
21922,-3.19390970865883
21921,-2.40281778971352
21920,-4.24542338053383
21919,-2.66448059082029
21918,-2.58707784016925
21917,-2.57115275065102
21916,-2.26225382486977
21915,-2.30639241536456
21914,-1.77141418457029
21913,-2.81216023763019
21912,-2.08395487467446
21911,-2.09557698567706
21910,-2.32416890462237
21909,-2.30458170572914
21908,-2.44602050781248
21907,-2.31254170735675
21906,-2.55380859374998
21905,-2.17873229980466
21904,-2.74114074707029
21903,-2.46968688964841
21902,-3.53233439127602
21901,-2.8575500488281
21900,-3.38685201009112
21899,-3.05364074707029
21898,-2.74936523437498
21897,-2.93136189778644
21896,-2.47051595052081
21895,-2.27860616048175
21894,-2.22241312662758
21893,-4.23627319335935
21892,-3.65719706217446
21891,-4.04275614420571
21890,-3.08009440104164
21889,-3.72636006673175
21888,-4.73898417154946
21887,-4.99136454264321
21886,-2.98175150553383
21885,-2.32304992675779
21884,-2.26827087402341
21883,-2.951030476888
21882,-3.05215047200519
21881,-2.41951599121091
21880,-3.03506571451821
21879,-2.92919006347654
21878,-2.20989074707029
21877,-2.57623901367185
21876,-2.36329243977862
21875,-3.15445556640623
21874,-3.94899597167966
21873,-3.06519673665362
21872,-2.38345947265623
21871,-1.90841267903644
21870,-1.81869099934894
21869,-2.817973836263
21868,-3.27410481770831
21867,-2.23534240722654
21866,-2.07616271972654
21865,-3.18489685058591
21864,-2.96981404622394
21863,-1.88044840494789
21862,-2.34167073567706
21861,-2.21507364908852
21860,-3.74830729166664
21859,-2.65298563639321
21858,-2.36447753906248
21857,-3.12419738769529
21856,-3.54304097493487
21855,-2.08136088053383
21854,-2.81813659667966
21853,-1.80152486165362
21852,-3.156108601888
21851,-1.70584208170571
21850,-2.80904744466144
21849,-2.64289957682289
21848,-1.75552978515623
21847,-2.81483561197914
21846,-2.88543802897133
21845,-3.08245442708331
21844,-2.74127298990883
21843,-2.96864420572914
21842,-2.46901041666664
21841,-2.42350362141925
21840,-2.86583557128904
21839,-1.77052408854164
21838,-2.52531534830727
21837,-3.88704528808591
21836,-2.53397725423175
21835,-2.21639099121091
21834,-1.98394368489581
21833,-1.9066223144531
21832,-1.98741760253904
21831,-2.09897460937498
21830,-2.38798116048175
21829,-3.45274963378904
21828,-2.64145507812498
21827,-3.11222941080727
21826,-2.54911397298175
21825,-2.61283467610675
21824,-2.45629475911456
21823,-2.21120808919269
21822,-2.63713175455727
21821,-3.40164794921873
21820,-3.89987792968748
21819,-2.93715006510414
21818,-3.02227884928383
21817,-3.61131388346352
21816,-4.16082356770831
21815,-2.46141153971352
21814,-1.79750671386716
21813,-2.39879964192706
21812,-3.14781290690102
21811,-3.80305074055987
21810,-5.77196350097654
21809,-2.85772298177081
21808,-3.39249776204425
21807,-2.50434977213539
21806,-3.26855061848956
21805,-3.38500569661456
21804,-2.80234374999998
21803,-2.43624471028644
21802,-2.51581420898435
21801,-1.88948160807289
21800,-3.00265096028644
21799,-2.93509521484373
21798,-2.51577351888019
21797,-4.17951558430987
21796,-2.28316853841144
21795,-2.95406697591144
21794,-2.41184082031248
21793,-1.93176371256508
21792,-2.29798990885414
21791,-4.14972534179685
21790,-3.29468892415362
21789,-2.58493652343748
21788,-1.34860839843748
21787,-2.9714416503906
21786,-5.80829467773435
21785,-2.62734069824216
21784,-2.76561584472654
21783,-3.32941792805987
21782,-2.706645711263
21781,-2.297221883138
21780,-2.23832804361977
21779,-3.85115661621091
21778,-3.9176086425781
21777,-2.07331949869789
21776,-3.43846232096352
21775,-2.76812337239581
21774,-1.97401021321612
21773,-2.02597656249998
21772,-1.74750874837237
21771,-2.25798136393227
21770,-2.10880126953123
21769,-2.93059387207029
21768,-4.28016255696612
21767,-3.39436442057289
21766,-4.32707316080727
21765,-2.82380269368487
21764,-3.23805847167966
21763,-2.6979787190755
21762,-3.15760396321612
21761,-3.05512084960935
21760,-2.57498270670571
21759,-2.69541015624998
21758,-1.61083577473956
21757,-1.62870381673175
21756,-1.9649719238281
21755,-2.52072245279946
21754,-2.05553283691404
21753,-2.51051940917966
21752,-2.07045084635414
21751,-2.20975850423175
21750,-2.26859130859373
21749,-2.93513081868487
21748,-2.42953084309894
21747,-1.863628133138
21746,-1.71921386718748
21745,-3.81463724772133
21744,-1.67407328287758
21743,-4.19694366455076
21742,-3.39637858072914
21741,-2.42562459309894
21740,-2.70069478352862
21739,-1.93822326660154
21738,-2.64057515462237
21737,-2.42269490559894
21736,-3.09466145833331
21735,-2.63958333333331
21734,-2.66761372884112
21733,-1.8794006347656
21732,-3.21640116373696
21731,-2.60906575520831
21730,-2.99160359700519
21729,-2.92238972981769
21728,-2.46521097819008
21727,-2.88471069335935
21726,-2.15824483235675
21725,-2.0135559082031
21724,-1.97027689615883
21723,-3.8029846191406
21722,-2.35779927571612
21721,-3.40542195638019
21720,-2.49617106119789
21719,-1.79831542968748
21718,-2.73074951171873
21717,-2.89469502766925
21716,-2.16944478352862
21715,-3.3138488769531
21714,-2.90133260091144
21713,-2.69522196451821
21712,-1.87270711263019
21711,-2.92328491210935
21710,-1.93937784830727
21709,-2.10702616373696
21708,-2.92680460611977
21707,-2.73687845865883
21706,-1.62948710123696
21705,-2.7324279785156
21704,-2.12053527832029
21703,-2.25758463541664
21702,-2.23402506510414
21701,-3.78816324869789
21700,-2.70592854817706
21699,-3.13869832356769
21698,-4.52269083658852
21697,-2.480083211263
21696,-3.64221293131508
21695,-2.63976135253904
21694,-3.42605183919269
21693,-3.33675740559894
21692,-3.56477457682289
21691,-3.67912902832029
21690,-3.36134948730466
21689,-2.13290506998696
21688,-3.75984802246091
21687,-2.80785217285154
21686,-1.86251424153644
21685,-1.88699442545571
21684,-1.98498636881508
21683,-3.89975077311196
21682,-2.78827514648435
21681,-2.71664530436196
21680,-1.33555704752602
21679,-2.48089192708331
21678,-2.07070007324216
21677,-2.56110738118487
21676,-3.59341532389321
21675,-3.12508239746091
21674,-3.10431009928383
21673,-2.86531677246091
21672,-3.49022013346352
21671,-3.06343180338539
21670,-1.96795247395831
21669,-2.096782430013
21668,-2.99125773111977
21667,-3.11844482421873
21666,-1.754985555013
21665,-3.41806640624998
21664,-2.5883595784505
21663,-3.23478800455727
21662,-3.15880940755206
21661,-2.64932352701821
21660,-2.91814270019529
21659,-3.08369038899737
21658,-3.28324483235675
21657,-2.31678365071612
21656,-2.95602010091144
21655,-2.90783793131508
21654,-2.85300292968748
21653,-2.84205220540362
21652,-2.59792683919269
21651,-3.02590535481769
21650,-2.7685607910156
21649,-3.95295817057289
21648,-2.76094665527341
21647,-2.00714721679685
21646,-2.265239461263
21645,-1.77498982747394
21644,-2.85686848958331
21643,-2.05638732910154
21642,-1.90070190429685
21641,-1.50149129231769
21640,-2.16246134440102
21639,-2.89807230631508
21638,-3.18439839680987
21637,-2.09364420572914
21636,-2.50225931803383
21635,-2.21073506673175
21634,-1.87517395019529
21633,-2.1607727050781
21632,-2.68703308105466
21631,-2.50555521647133
21630,-3.20589803059894
21629,-3.94792785644529
21628,-1.73108011881508
21627,-1.82763264973956
21626,-2.30836079915362
21625,-2.01716715494789
21624,-3.68322347005206
21623,-2.00265604654946
21622,-3.02471008300779
21621,-4.17620442708331
21620,-2.14175516764321
21619,-2.07745971679685
21618,-2.83547566731769
21617,-2.8472961425781
21616,-4.02279256184894
21615,-1.93703816731769
21614,-3.13705546061196
21613,-1.96647745768227
21612,-2.5998341878255
21611,-2.04822896321612
21610,-3.10491027832029
21609,-1.29637247721352
21608,-2.94696655273435
21607,-2.74250895182289
21606,-2.08074035644529
21605,-2.45152893066404
21604,-3.82262268066404
21603,-2.53305664062498
21602,-2.95340576171873
21601,-2.32774963378904
21600,-3.60822143554685
21599,-3.53639831542966
21598,-1.89900309244789
21597,-2.80361022949216
21596,-2.88344930013019
21595,-3.02422180175779
21594,-2.54237467447914
21593,-1.87096761067706
21592,-1.9125783284505
21591,-1.68097025553383
21590,-1.76529032389321
21589,-2.83490091959633
21588,-1.86077982584633
21587,-2.60025634765623
21586,-1.88844401041664
21585,-2.88720804850258
21584,-3.80012105305987
21583,-2.5334279378255
21582,-2.46610616048175
21581,-2.5532033284505
21580,-1.68633626302081
21579,-1.72537333170571
21578,-3.59612630208331
21577,-4.25578409830727
21576,-3.45816141764321
21575,-1.77681070963539
21574,-2.02337239583331
21573,-2.23639017740883
21572,-1.46905110677081
21571,-2.64195861816404
21570,-3.03688151041664
21569,-2.53460795084633
21568,-3.73683268229164
21567,-1.68184000651039
21566,-2.67869669596352
21565,-2.65105285644529
21564,-4.61968078613279
21563,-4.03030497233071
21562,-2.84042460123696
21561,-1.35627848307289
21560,-2.04771525065102
21559,-1.60106506347654
21558,-2.31736857096352
21557,-2.42303568522133
21556,-2.57770385742185
21555,-3.18153991699216
21554,-2.73513387044269
21553,-2.52700907389321
21552,-2.62363281249998
21551,-1.97036844889321
21550,-2.14264017740883
21549,-2.17279663085935
21548,-3.3283752441406
21547,-3.03106282552081
21546,-4.36669006347654
21545,-2.46134541829425
21544,-3.12870890299477
21543,-4.78920847574868
21542,-2.01554463704425
21541,-1.68387451171873
21540,-3.22396952311196
21539,-2.50464986165362
21538,-3.77172444661456
21537,-2.70639648437498
21536,-3.36364847819008
21535,-4.12186787923175
21534,-1.75898844401039
21533,-3.07424011230466
21532,-1.56401163736977
21531,-2.95473327636716
21530,-2.64226888020831
21529,-3.93867085774737
21528,-3.08166605631508
21527,-3.66795450846352
21526,-2.12103373209633
21525,-2.15417073567706
21524,-2.18330993652341
21523,-2.47471720377602
21522,-3.65382486979164
21521,-2.34408162434894
21520,-2.52274678548175
21519,-2.62473144531248
21518,-3.4531056722005
21517,-3.66701863606769
21516,-2.70248006184894
21515,-3.73101908365883
21514,-2.20113728841144
21513,-2.47716369628904
21512,-2.65813802083331
21511,-3.14797566731769
21510,-3.52986246744789
21509,-4.36700286865232
21508,-2.76826070149737
21507,-3.06851806640623
21506,-2.94683939615883
21505,-3.27155151367185
21504,-2.55774027506508
21503,-2.42988179524737
21502,-2.75084025065102
21501,-2.402934773763
21500,-3.60857747395831
21499,-2.89643452962237
21498,-4.4027160644531
21497,-1.98357238769529
21496,-2.5376037597656
21495,-3.30392049153644
21494,-2.67151997884112
21493,-3.64929300944008
21492,-2.74032185872394
21491,-2.41094055175779
21490,-2.59534810384112
21489,-2.58390401204425
21488,-1.86452331542966
21487,-1.82689005533852
21486,-2.68075154622394
21485,-3.37035725911456
21484,-1.78816833496091
21483,-2.15736490885414
21482,-2.55367635091144
21481,-1.95865987141925
21480,-2.40900268554685
21479,-2.74035237630206
21478,-2.68199259440102
21477,-2.094096883138
21476,-2.50520935058591
21475,-1.84387308756508
21474,-3.08375651041664
21473,-3.04162190755206
21472,-3.16555379231769
21471,-1.9723927815755
21470,-2.31416931152341
21469,-2.17038574218748
21468,-3.45994669596352
21467,-2.97943216959633
21466,-3.18417460123696
21465,-2.84156392415362
21464,-2.69559834798175
21463,-2.17276102701821
21462,-2.99079996744789
21461,-2.69229227701821
21460,-3.11441650390623
21459,-2.37944641113279
21458,-3.16930745442706
21457,-3.15552876790362
21456,-2.57279052734373
21455,-2.77762959798175
21454,-2.32183939615883
21453,-2.51703491210935
21452,-2.60718892415362
21451,-2.71310017903644
21450,-1.14682108561196
21449,-2.60080566406248
21448,-2.37045898437498
21447,-1.54340718587237
21446,-2.5988830566406
21445,-2.46385803222654
21444,-3.51592610677081
21443,-2.95831400553383
21442,-1.91342264811196
21441,-1.94964192708331
21440,-2.69104105631508
21439,-2.57825826009112
21438,-3.43888956705727
21437,-1.82288716634112
21436,-2.48271280924477
21435,-1.86368408203123
21434,-2.06593933105466
21433,-2.60296732584633
21432,-1.68760782877602
21431,-4.23939107259112
21430,-3.91143391927081
21429,-3.37427876790362
21428,-2.42568562825519
21427,-2.13160807291664
21426,-2.93310648600258
21425,-2.05194193522133
21424,-4.00490417480466
21423,-2.38835245768227
21422,-1.97915242513019
21421,-2.81512044270831
21420,-2.46432088216144
21419,-3.70233764648435
21418,-2.31159566243487
21417,-3.08230183919269
21416,-2.38868306477862
21415,-3.07420959472654
21414,-2.73834330240883
21413,-2.44486083984373
21412,-3.93787740071612
21411,-4.82070515950519
21410,-2.27703959147133
21409,-3.10976257324216
21408,-2.13043314615883
21407,-3.21894938151039
21406,-2.99374999999998
21405,-3.58236287434894
21404,-2.78778177897133
21403,-3.07966715494789
21402,-2.99136454264321
21401,-2.69534912109373
21400,-5.08726603190102
21399,-2.66030476888019
21398,-3.181499226888
21397,-2.35403035481769
21396,-3.66298522949216
21395,-1.54710998535154
21394,-2.07067972819008
21393,-4.21645202636716
21392,-5.23961995442706
21391,-2.79037068684894
21390,-2.49307352701821
21389,-1.96177775065102
21388,-1.99763590494789
21387,-2.52909952799477
21386,-3.61116638183591
21385,-3.09729105631508
21384,-2.42145385742185
21383,-2.86493021647133
21382,-2.8170227050781
21381,-2.71912740071612
21380,-2.36684773763019
21379,-2.10052083333331
21378,-2.85800272623696
21377,-1.81413879394529
21376,-2.28344828287758
21375,-3.49148152669269
21374,-3.75486857096352
21373,-3.04617411295571
21372,-1.74146626790362
21371,-2.97191975911456
21370,-2.86258036295571
21369,-1.92927144368487
21368,-1.92903238932289
21367,-2.91662190755206
21366,-2.01168416341144
21365,-3.68077697753904
21364,-2.34041951497394
21363,-3.35363871256508
21362,-2.62089640299477
21361,-2.41994323730466
21360,-3.52334187825519
21359,-3.10720418294269
21358,-2.25115559895831
21357,-1.50732014973956
21356,-2.94078165690102
21355,-3.41228841145831
21354,-3.28979593912758
21353,-2.69494222005206
21352,-1.69249572753904
21351,-2.34577534993487
21350,-1.66822916666664
21349,-2.65070699055987
21348,-3.24704081217446
21347,-2.11581522623696
21346,-3.00804239908852
21345,-4.04616394042966
21344,-3.73147176106769
21343,-2.954936726888
21342,-2.39399820963539
21341,-4.37564188639321
21340,-2.05975952148435
21339,-3.21346130371091
21338,-2.90339253743487
21337,-3.21610616048175
21336,-2.22592264811196
21335,-2.51106872558591
21334,-3.12332255045571
21333,-3.84887797037758
21332,-2.25997517903644
21331,-2.66300557454425
21330,-4.07605082194008
21329,-2.56730244954425
21328,-3.32923482259112
21327,-1.87217814127602
21326,-2.12150166829425
21325,-3.22228088378904
21324,-2.92874755859373
21323,-3.55524800618487
21322,-2.61445210774737
21321,-3.59758605957029
21320,-3.51351521809894
21319,-1.77318420410154
21318,-1.63228963216144
21317,-2.53821919759112
21316,-2.59371541341144
21315,-3.47915242513019
21314,-3.09339497884112
21313,-4.62132873535154
21312,-3.01347452799477
21311,-3.94951477050779
21310,-3.17117919921873
21309,-3.12034708658852
21308,-2.85760091145831
21307,-2.53636779785154
21306,-2.97466125488279
21305,-1.89715169270831
21304,-3.12717285156248
21303,-2.08680826822914
21302,-1.76129252115883
21301,-2.59737243652341
21300,-3.10739237467446
21299,-3.28897705078123
21298,-2.28995869954425
21297,-3.5419728597005
21296,-3.01985778808591
21295,-1.57862447102862
21294,-2.34190470377602
21293,-2.03678487141925
21292,-3.9843811035156
21291,-3.495464070638
21290,-3.892925008138
21289,-2.4007629394531
21288,-1.51378479003904
21287,-3.10038350423175
21286,-1.93024800618487
21285,-3.4804748535156
21284,-3.09270833333331
21283,-2.38670450846352
21282,-2.72875061035154
21281,-2.9957336425781
21280,-2.56742451985675
21279,-3.12560628255206
21278,-2.95428568522133
21277,-3.06195170084633
21276,-2.81032918294269
21275,-3.35357259114581
21274,-2.96319173177081
21273,-3.34361877441404
21272,-2.57088317871091
21271,-3.20392964680987
21270,-3.53282267252602
21269,-3.29824422200519
21268,-4.01938476562498
21267,-3.09699096679685
21266,-3.2281555175781
21265,-2.62921244303383
21264,-2.67575683593748
21263,-2.46115722656248
21262,-2.37613016764321
21261,-2.05016682942706
21260,-2.68128560384112
21259,-2.79505513509112
21258,-2.43216552734373
21257,-3.37493489583331
21256,-3.07734273274737
21255,-4.06434733072914
21254,-3.20974833170571
21253,-2.6285461425781
21252,-2.6957814534505
21251,-2.02282816569008
21250,-2.7692932128906
21249,-2.16959737141925
21248,-2.58005371093748
21247,-1.35937601725258
21246,-2.98548990885414
21245,-2.43821818033852
21244,-2.05914408365883
21243,-2.9567677815755
21242,-2.43974405924477
21241,-2.53124593098956
21240,-2.86661376953123
21239,-2.66225280761716
21238,-2.82885335286456
21237,-2.18362019856769
21236,-2.4967102050781
21235,-1.87675577799477
21234,-2.9156555175781
21233,-2.04202880859373
21232,-2.63598734537758
21231,-2.40979105631508
21230,-2.71329854329425
21229,-2.33629455566404
21228,-4.29750162760414
21227,-2.46432596842446
21226,-1.75080464680987
21225,-2.53195292154946
21224,-5.00627237955727
21223,-2.89769083658852
21222,-3.72597859700519
21221,-2.87043355305987
21220,-2.60432535807289
21219,-2.25690816243487
21218,-2.35560201009112
21217,-3.1767384847005
21216,-2.13846435546873
21215,-4.00068766276039
21214,-2.98502197265623
21213,-2.59420878092446
21212,-1.89474589029946
21211,-2.25612487792966
21210,-2.91480611165362
21209,-1.9990295410156
21208,-2.74065246582029
21207,-2.42191162109373
21206,-3.47999165852862
21205,-3.9145314534505
21204,-3.93912353515623
21203,-2.62637939453123
21202,-3.19767354329425
21201,-4.28057454427081
21200,-2.40135803222654
21199,-2.10533752441404
21198,-2.91338195800779
21197,-2.78702392578123
21196,-2.13925781249998
21195,-1.86905517578123
21194,-1.91928710937498
21193,-4.21070963541664
21192,-2.60615132649737
21191,-2.34340515136716
21190,-2.88710123697914
21189,-2.77992350260414
21188,-3.33190002441404
21187,-2.22723490397133
21186,-2.62251383463539
21185,-3.38377990722654
21184,-2.30590922037758
21183,-2.3789123535156
21182,-1.67772521972654
21181,-2.74179687499998
21180,-1.70575561523435
21179,-1.5562805175781
21178,-1.91862589518227
21177,-2.89798583984373
21176,-2.26278788248696
21175,-3.52542724609373
21174,-2.47969156901039
21173,-2.90783793131508
21172,-3.13207092285154
21171,-3.50001118977862
21170,-3.49296671549477
21169,-3.08285115559894
21168,-2.5981506347656
21167,-2.03193766276039
21166,-2.13664855957029
21165,-3.59701131184894
21164,-2.39385070800779
21163,-2.50963439941404
21162,-2.17549743652341
21161,-3.86714782714841
21160,-3.16944478352862
21159,-2.81307576497394
21158,-3.02330627441404
21157,-3.21286621093748
21156,-2.57989095052081
21155,-2.88579406738279
21154,-2.43031921386716
21153,-2.95912780761716
21152,-2.13658243815102
21151,-4.04046223958331
21150,-3.28859558105466
21149,-2.4023498535156
21148,-1.58824768066404
21147,-2.34491068522133
21146,-2.72098388671873
21145,-1.73134969075519
21144,-2.52097167968748
21143,-1.82866007486977
21142,-2.43286234537758
