measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 0,-67,-67,-79,-70,-64,-55,Bacon,Yes
EN18218 1,-22,-11,-63,-39,0,81,Bacon,Yes
EN18218 2,33,45,-38,7,64,175,Bacon,Yes
EN18218 3,88,102,-7,55,129,262,Bacon,Yes
EN18218 4,147,159,25,106,193,342,Bacon,Yes
EN18218 5,202,216,62,156,254,426,Bacon,Yes
EN18218 6,260,275,105,209,317,504,Bacon,Yes
EN18218 7,316,332,142,261,379,579,Bacon,Yes
EN18218 8,372,388,185,312,438,651,Bacon,Yes
EN18218 9,428,446,228,366,500,731,Bacon,Yes
EN18218 10,488,504,272,419,564,802,Bacon,Yes
EN18218 11,546,563,318,472,627,875,Bacon,Yes
EN18218 12,602,621,367,525,685,955,Bacon,Yes
EN18218 13,658,678,413,578,744,1027,Bacon,Yes
EN18218 14,715,737,456,633,807,1109,Bacon,Yes
EN18218 15,772,795,503,685,870,1179,Bacon,Yes
EN18218 16,832,853,550,738,929,1252,Bacon,Yes
EN18218 17,890,912,598,792,990,1329,Bacon,Yes
EN18218 18,948,971,647,846,1049,1400,Bacon,Yes
EN18218 19,1002,1026,698,899,1104,1463,Bacon,Yes
EN18218 20,1054,1077,739,949,1157,1524,Bacon,Yes
EN18218 21,1104,1126,782,996,1208,1578,Bacon,Yes
EN18218 22,1150,1173,823,1042,1260,1623,Bacon,Yes
EN18218 23,1197,1220,866,1088,1311,1673,Bacon,Yes
EN18218 24,1241,1265,907,1135,1360,1717,Bacon,Yes
EN18218 25,1288,1310,947,1178,1408,1761,Bacon,Yes
EN18218 26,1336,1356,989,1222,1455,1808,Bacon,Yes
EN18218 27,1382,1403,1030,1268,1506,1854,Bacon,Yes
EN18218 28,1430,1450,1073,1316,1554,1904,Bacon,Yes
EN18218 29,1478,1496,1116,1363,1602,1951,Bacon,Yes
EN18218 30,1525,1541,1156,1406,1650,1997,Bacon,Yes
EN18218 31,1573,1588,1194,1450,1699,2042,Bacon,Yes
EN18218 32,1618,1634,1239,1494,1748,2087,Bacon,Yes
EN18218 33,1666,1680,1281,1540,1797,2138,Bacon,Yes
EN18218 34,1716,1726,1322,1583,1846,2181,Bacon,Yes
EN18218 35,1762,1772,1365,1631,1890,2224,Bacon,Yes
EN18218 36,1809,1815,1404,1673,1937,2266,Bacon,Yes
EN18218 37,1850,1856,1444,1711,1979,2304,Bacon,Yes
EN18218 38,1893,1897,1484,1752,2022,2349,Bacon,Yes
EN18218 39,1934,1937,1520,1792,2065,2392,Bacon,Yes
EN18218 40,1975,1977,1558,1833,2107,2430,Bacon,Yes
EN18218 41,2019,2018,1593,1874,2150,2470,Bacon,Yes
EN18218 42,2057,2057,1630,1914,2189,2505,Bacon,Yes
EN18218 43,2099,2097,1672,1954,2233,2548,Bacon,Yes
EN18218 44,2141,2136,1704,1996,2276,2582,Bacon,Yes
EN18218 45,2182,2176,1739,2031,2317,2620,Bacon,Yes
EN18218 46,2222,2215,1776,2070,2359,2654,Bacon,Yes
EN18218 47,2261,2254,1808,2106,2401,2698,Bacon,Yes
EN18218 48,2305,2293,1847,2144,2440,2737,Bacon,Yes
EN18218 49,2346,2333,1883,2182,2481,2777,Bacon,Yes
EN18218 50,2390,2373,1922,2223,2522,2814,Bacon,Yes
EN18218 51,2434,2413,1960,2261,2563,2850,Bacon,Yes
EN18218 52,2477,2452,2004,2298,2604,2888,Bacon,Yes
