measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 0,-66,-65,-70,-68,-64,-57,Bchron,Yes
EN18218 1,331,365,168,284,376,681,Bchron,Yes
EN18218 2,435,488,256,382,487,1018,Bchron,Yes
EN18218 3,537,597,326,481,593,1220,Bchron,Yes
EN18218 4,639,699,381,581,698,1361,Bchron,Yes
EN18218 5,742,796,431,684,805,1464,Bchron,Yes
EN18218 6,846,890,480,786,908,1547,Bchron,Yes
EN18218 7,950,982,529,890,1010,1616,Bchron,Yes
EN18218 8,1054,1072,580,992,1114,1673,Bchron,Yes
EN18218 9,1158,1162,631,1094,1218,1733,Bchron,Yes
EN18218 10,1261,1252,687,1196,1322,1786,Bchron,Yes
EN18218 11,1366,1341,748,1297,1428,1838,Bchron,Yes
EN18218 12,1470,1432,806,1398,1534,1887,Bchron,Yes
EN18218 13,1573,1524,873,1501,1639,1937,Bchron,Yes
EN18218 14,1677,1619,951,1603,1744,1986,Bchron,Yes
EN18218 15,1778,1716,1054,1705,1847,2039,Bchron,Yes
EN18218 16,1879,1818,1187,1808,1948,2095,Bchron,Yes
EN18218 17,1979,1927,1368,1913,2048,2159,Bchron,Yes
EN18218 18,2082,2050,1701,2020,2149,2244,Bchron,Yes
EN18218 19,2198,2195,2017,2143,2259,2344,Bchron,Yes
EN18218 20,2265,2271,2080,2206,2323,2514,Bchron,Yes
EN18218 21,2322,2334,2136,2265,2379,2636,Bchron,Yes
EN18218 22,2379,2393,2190,2322,2435,2712,Bchron,Yes
EN18218 23,2435,2449,2238,2378,2490,2777,Bchron,Yes
EN18218 24,2491,2503,2277,2434,2545,2822,Bchron,Yes
EN18218 25,2548,2556,2313,2492,2601,2864,Bchron,Yes
EN18218 26,2605,2608,2348,2550,2658,2903,Bchron,Yes
EN18218 27,2662,2660,2380,2609,2714,2938,Bchron,Yes
EN18218 28,2720,2713,2416,2667,2771,2972,Bchron,Yes
EN18218 29,2778,2765,2455,2721,2829,3004,Bchron,Yes
EN18218 30,2835,2818,2502,2777,2888,3038,Bchron,Yes
EN18218 31,2892,2872,2555,2834,2945,3079,Bchron,Yes
EN18218 32,2947,2928,2618,2891,3004,3127,Bchron,Yes
EN18218 33,3004,2987,2696,2948,3060,3180,Bchron,Yes
EN18218 34,3063,3051,2818,3008,3120,3237,Bchron,Yes
EN18218 35,3129,3125,2950,3074,3186,3300,Bchron,Yes
EN18218 36,3169,3166,2995,3112,3222,3336,Bchron,Yes
EN18218 37,3186,3184,3014,3131,3238,3353,Bchron,Yes
EN18218 38,3202,3200,3031,3147,3253,3368,Bchron,Yes
EN18218 39,3217,3214,3047,3163,3266,3382,Bchron,Yes
EN18218 40,3230,3228,3063,3178,3278,3395,Bchron,Yes
EN18218 41,3242,3241,3078,3191,3289,3406,Bchron,Yes
EN18218 42,3254,3254,3091,3205,3302,3417,Bchron,Yes
EN18218 43,3266,3266,3105,3219,3313,3428,Bchron,Yes
EN18218 44,3278,3278,3120,3233,3324,3438,Bchron,Yes
EN18218 45,3290,3290,3132,3246,3335,3448,Bchron,Yes
EN18218 46,3302,3302,3146,3259,3346,3458,Bchron,Yes
EN18218 47,3314,3314,3159,3272,3357,3469,Bchron,Yes
EN18218 48,3326,3326,3169,3285,3367,3478,Bchron,Yes
EN18218 49,3338,3338,3181,3298,3378,3490,Bchron,Yes
EN18218 50,3350,3349,3192,3311,3390,3501,Bchron,Yes
EN18218 51,3362,3361,3204,3323,3402,3512,Bchron,Yes
EN18218 52,3373,3373,3217,3335,3414,3524,Bchron,Yes
EN18218 53,3385,3386,3228,3347,3426,3537,Bchron,Yes
EN18218 54,3398,3398,3242,3360,3438,3551,Bchron,Yes
EN18218 55,3410,3411,3255,3372,3450,3565,Bchron,Yes
EN18218 56,3422,3425,3270,3385,3464,3582,Bchron,Yes
EN18218 57,3435,3439,3289,3398,3478,3598,Bchron,Yes
EN18218 58,3450,3455,3318,3412,3493,3616,Bchron,Yes
EN18218 59,3466,3473,3348,3429,3511,3636,Bchron,Yes
EN18218 60,3507,3521,3390,3466,3553,3699,Bchron,Yes
EN18218 61,3577,3610,3447,3532,3627,3949,Bchron,Yes
EN18218 62,3641,3684,3490,3595,3694,4105,Bchron,Yes
EN18218 63,3705,3751,3525,3655,3760,4213,Bchron,Yes
EN18218 64,3767,3813,3561,3717,3825,4294,Bchron,Yes
EN18218 65,3832,3873,3594,3779,3891,4360,Bchron,Yes
EN18218 66,3897,3931,3622,3841,3955,4416,Bchron,Yes
EN18218 67,3961,3988,3650,3906,4019,4467,Bchron,Yes
EN18218 68,4027,4044,3679,3970,4083,4510,Bchron,Yes
EN18218 69,4091,4099,3707,4035,4147,4548,Bchron,Yes
EN18218 70,4157,4153,3734,4099,4212,4584,Bchron,Yes
EN18218 71,4222,4208,3764,4163,4276,4620,Bchron,Yes
EN18218 72,4287,4262,3795,4227,4340,4651,Bchron,Yes
EN18218 73,4351,4317,3829,4292,4403,4685,Bchron,Yes
EN18218 74,4416,4373,3865,4356,4466,4716,Bchron,Yes
EN18218 75,4480,4429,3907,4421,4530,4750,Bchron,Yes
EN18218 76,4545,4488,3955,4485,4594,4784,Bchron,Yes
EN18218 77,4610,4548,4006,4552,4658,4826,Bchron,Yes
EN18218 78,4675,4611,4077,4621,4721,4866,Bchron,Yes
EN18218 79,4741,4678,4168,4692,4783,4915,Bchron,Yes
EN18218 80,4806,4753,4290,4764,4843,4967,Bchron,Yes
EN18218 81,4874,4845,4563,4843,4909,5032,Bchron,Yes
EN18218 82,4906,4888,4636,4876,4945,5073,Bchron,Yes
