measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 0,-68,-68,-77,-73,-63,-59,Undatable,Yes
EN18218 1,165,173,-8,42,311,382,Undatable,Yes
EN18218 2,279,282,54,142,418,532,Undatable,Yes
EN18218 3,387,390,112,234,540,702,Undatable,Yes
EN18218 4,491,498,167,320,667,887,Undatable,Yes
EN18218 5,596,606,218,404,800,1075,Undatable,Yes
EN18218 6,700,712,271,482,938,1246,Undatable,Yes
EN18218 7,801,815,322,557,1073,1389,Undatable,Yes
EN18218 8,905,914,369,632,1200,1494,Undatable,Yes
EN18218 9,1010,1010,422,707,1314,1583,Undatable,Yes
EN18218 10,1118,1104,468,785,1417,1670,Undatable,Yes
EN18218 11,1230,1199,515,866,1513,1745,Undatable,Yes
EN18218 12,1348,1297,564,953,1606,1822,Undatable,Yes
EN18218 13,1468,1398,611,1051,1699,1895,Undatable,Yes
EN18218 14,1589,1501,659,1152,1792,1970,Undatable,Yes
EN18218 15,1709,1605,701,1249,1884,2042,Undatable,Yes
EN18218 16,1829,1709,746,1340,1978,2114,Undatable,Yes
EN18218 17,1946,1812,789,1428,2077,2181,Undatable,Yes
EN18218 18,2063,1915,832,1513,2186,2257,Undatable,Yes
EN18218 19,2162,2007,881,1596,2288,2339,Undatable,Yes
EN18218 20,2217,2067,925,1685,2338,2407,Undatable,Yes
EN18218 21,2272,2127,971,1779,2394,2487,Undatable,Yes
EN18218 22,2324,2188,1018,1873,2455,2572,Undatable,Yes
EN18218 23,2371,2250,1068,1965,2518,2659,Undatable,Yes
EN18218 24,2417,2311,1118,2064,2585,2746,Undatable,Yes
EN18218 25,2465,2372,1164,2158,2651,2820,Undatable,Yes
EN18218 26,2515,2431,1212,2241,2716,2880,Undatable,Yes
EN18218 27,2568,2489,1255,2306,2776,2926,Undatable,Yes
EN18218 28,2627,2547,1302,2364,2832,2973,Undatable,Yes
EN18218 29,2694,2607,1348,2419,2889,3015,Undatable,Yes
EN18218 30,2769,2668,1394,2466,2944,3062,Undatable,Yes
EN18218 31,2846,2730,1443,2504,3003,3108,Undatable,Yes
EN18218 32,2924,2793,1493,2542,3062,3160,Undatable,Yes
EN18218 33,3000,2856,1540,2573,3125,3210,Undatable,Yes
EN18218 34,3078,2918,1594,2600,3194,3267,Undatable,Yes
EN18218 35,3154,2981,1652,2626,3273,3332,Undatable,Yes
EN18218 36,3186,3014,1712,2653,3304,3361,Undatable,Yes
EN18218 37,3203,3038,1779,2683,3318,3387,Undatable,Yes
EN18218 38,3218,3061,1848,2712,3332,3430,Undatable,Yes
EN18218 39,3232,3085,1913,2740,3347,3472,Undatable,Yes
EN18218 40,3246,3108,1984,2770,3363,3519,Undatable,Yes
EN18218 41,3259,3132,2056,2799,3380,3567,Undatable,Yes
EN18218 42,3271,3156,2126,2830,3399,3619,Undatable,Yes
EN18218 43,3283,3179,2199,2862,3422,3672,Undatable,Yes
EN18218 44,3294,3203,2266,2895,3446,3721,Undatable,Yes
EN18218 45,3304,3227,2334,2929,3472,3769,Undatable,Yes
EN18218 46,3313,3250,2403,2963,3498,3821,Undatable,Yes
EN18218 47,3323,3274,2472,2996,3525,3872,Undatable,Yes
EN18218 48,3333,3297,2541,3031,3553,3922,Undatable,Yes
EN18218 49,3342,3321,2594,3066,3581,3975,Undatable,Yes
EN18218 50,3350,3344,2660,3101,3609,4025,Undatable,Yes
EN18218 51,3359,3368,2728,3136,3638,4068,Undatable,Yes
EN18218 52,3368,3392,2785,3171,3667,4113,Undatable,Yes
EN18218 53,3378,3416,2841,3205,3698,4149,Undatable,Yes
EN18218 54,3388,3440,2899,3239,3729,4187,Undatable,Yes
EN18218 55,3398,3464,2956,3273,3760,4225,Undatable,Yes
EN18218 56,3410,3487,3018,3307,3790,4260,Undatable,Yes
EN18218 57,3422,3511,3064,3339,3821,4293,Undatable,Yes
EN18218 58,3437,3535,3109,3363,3856,4323,Undatable,Yes
EN18218 59,3452,3559,3142,3384,3888,4352,Undatable,Yes
EN18218 60,3480,3588,3180,3410,3926,4384,Undatable,Yes
EN18218 61,3540,3635,3210,3452,3963,4413,Undatable,Yes
EN18218 62,3599,3681,3243,3481,4004,4442,Undatable,Yes
EN18218 63,3658,3728,3272,3506,4048,4472,Undatable,Yes
EN18218 64,3718,3774,3299,3527,4096,4504,Undatable,Yes
EN18218 65,3777,3821,3326,3549,4159,4533,Undatable,Yes
EN18218 66,3835,3868,3357,3571,4219,4563,Undatable,Yes
EN18218 67,3890,3914,3388,3591,4283,4592,Undatable,Yes
EN18218 68,3946,3959,3412,3612,4341,4622,Undatable,Yes
EN18218 69,4002,4002,3433,3633,4398,4650,Undatable,Yes
EN18218 70,4062,4045,3458,3654,4449,4678,Undatable,Yes
EN18218 71,4124,4087,3475,3675,4496,4711,Undatable,Yes
EN18218 72,4193,4130,3497,3695,4542,4742,Undatable,Yes
EN18218 73,4265,4174,3513,3714,4588,4773,Undatable,Yes
EN18218 74,4342,4219,3528,3735,4635,4807,Undatable,Yes
EN18218 75,4420,4265,3544,3754,4680,4842,Undatable,Yes
EN18218 76,4500,4312,3562,3775,4726,4881,Undatable,Yes
EN18218 77,4580,4359,3580,3795,4771,4930,Undatable,Yes
EN18218 78,4661,4406,3594,3814,4819,4986,Undatable,Yes
EN18218 79,4737,4453,3610,3834,4870,5050,Undatable,Yes
EN18218 80,4809,4500,3626,3853,4924,5121,Undatable,Yes
EN18218 81,4871,4547,3641,3872,4986,5194,Undatable,Yes
EN18218 82,4892,4568,3654,3893,5007,5214,Undatable,Yes
EN18218 83,4899,4580,3671,3913,5012,5219,Undatable,Yes
EN18218 84,4905,4593,3687,3933,5019,5224,Undatable,Yes
EN18218 85,4911,4605,3700,3953,5024,5227,Undatable,Yes
EN18218 86,4916,4617,3715,3972,5030,5232,Undatable,Yes
EN18218 87,4921,4629,3728,3992,5037,5236,Undatable,Yes
EN18218 88,4926,4642,3741,4011,5044,5239,Undatable,Yes
EN18218 89,4931,4654,3753,4031,5051,5244,Undatable,Yes
EN18218 90,4936,4666,3767,4049,5059,5249,Undatable,Yes
EN18218 91,4940,4678,3784,4070,5066,5256,Undatable,Yes
EN18218 92,4945,4690,3800,4089,5073,5262,Undatable,Yes
EN18218 93,4949,4702,3815,4109,5081,5270,Undatable,Yes
EN18218 94,4954,4714,3827,4128,5088,5281,Undatable,Yes
EN18218 95,4958,4726,3842,4149,5096,5295,Undatable,Yes
EN18218 96,4963,4737,3857,4169,5103,5304,Undatable,Yes
EN18218 97,4967,4749,3873,4190,5111,5314,Undatable,Yes
EN18218 98,4971,4761,3887,4210,5117,5323,Undatable,Yes
EN18218 99,4976,4772,3902,4229,5124,5334,Undatable,Yes
EN18218 100,4980,4784,3917,4250,5133,5344,Undatable,Yes
EN18218 101,4984,4796,3932,4270,5143,5355,Undatable,Yes
EN18218 102,4989,4807,3946,4290,5152,5367,Undatable,Yes
EN18218 103,4994,4819,3963,4312,5163,5380,Undatable,Yes
EN18218 104,4998,4831,3981,4333,5176,5392,Undatable,Yes
EN18218 105,5002,4843,3998,4354,5188,5405,Undatable,Yes
EN18218 106,5006,4855,4018,4374,5202,5417,Undatable,Yes
EN18218 107,5010,4867,4041,4396,5215,5431,Undatable,Yes
EN18218 108,5014,4879,4063,4417,5227,5445,Undatable,Yes
EN18218 109,5017,4891,4085,4438,5241,5459,Undatable,Yes
EN18218 110,5021,4904,4109,4460,5253,5473,Undatable,Yes
EN18218 111,5023,4916,4133,4481,5264,5489,Undatable,Yes
EN18218 112,5027,4928,4157,4501,5273,5505,Undatable,Yes
EN18218 113,5029,4941,4185,4523,5286,5525,Undatable,Yes
EN18218 114,5032,4953,4213,4544,5293,5546,Undatable,Yes
EN18218 115,5035,4965,4244,4565,5298,5564,Undatable,Yes
EN18218 116,5039,4975,4274,4586,5302,5571,Undatable,Yes
EN18218 117,5042,4986,4306,4607,5307,5580,Undatable,Yes
EN18218 118,5045,4996,4335,4628,5313,5588,Undatable,Yes
EN18218 119,5049,5007,4366,4650,5317,5596,Undatable,Yes
EN18218 120,5052,5017,4394,4672,5322,5606,Undatable,Yes
EN18218 121,5056,5028,4422,4693,5328,5614,Undatable,Yes
EN18218 122,5060,5039,4449,4713,5333,5622,Undatable,Yes
EN18218 123,5063,5049,4481,4733,5338,5632,Undatable,Yes
EN18218 124,5067,5060,4511,4755,5343,5641,Undatable,Yes
EN18218 125,5071,5071,4544,4777,5349,5650,Undatable,Yes
EN18218 126,5075,5081,4574,4799,5355,5658,Undatable,Yes
EN18218 127,5080,5092,4605,4820,5359,5667,Undatable,Yes
EN18218 128,5084,5103,4631,4841,5362,5676,Undatable,Yes
EN18218 129,5090,5113,4660,4862,5366,5685,Undatable,Yes
EN18218 130,5097,5124,4686,4884,5370,5694,Undatable,Yes
EN18218 131,5103,5135,4714,4903,5376,5703,Undatable,Yes
EN18218 132,5112,5146,4742,4922,5380,5713,Undatable,Yes
EN18218 133,5122,5156,4768,4942,5384,5724,Undatable,Yes
EN18218 134,5132,5167,4792,4961,5389,5733,Undatable,Yes
EN18218 135,5145,5178,4817,4975,5395,5742,Undatable,Yes
EN18218 136,5157,5189,4839,4988,5400,5752,Undatable,Yes
EN18218 137,5169,5200,4861,4999,5404,5761,Undatable,Yes
EN18218 138,5181,5210,4881,5011,5408,5771,Undatable,Yes
EN18218 139,5193,5222,4901,5026,5413,5780,Undatable,Yes
EN18218 140,5208,5237,4925,5048,5417,5789,Undatable,Yes
EN18218 141,5222,5252,4948,5069,5423,5798,Undatable,Yes
EN18218 142,5236,5266,4968,5089,5429,5807,Undatable,Yes
EN18218 143,5250,5281,4988,5108,5436,5817,Undatable,Yes
EN18218 144,5264,5296,5007,5129,5447,5826,Undatable,Yes
EN18218 145,5278,5311,5027,5147,5458,5835,Undatable,Yes
EN18218 146,5292,5325,5047,5166,5468,5844,Undatable,Yes
EN18218 147,5306,5340,5067,5184,5479,5852,Undatable,Yes
EN18218 148,5320,5354,5084,5201,5489,5860,Undatable,Yes
EN18218 149,5334,5368,5102,5218,5499,5867,Undatable,Yes
EN18218 150,5347,5381,5117,5235,5508,5874,Undatable,Yes
