measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 0,-10,11,-36,-19,3,156,clam T4 S6,Yes
EN18218 1,84,104,51,75,97,245,clam T4 S6,Yes
EN18218 2,180,197,138,169,193,333,clam T4 S6,Yes
EN18218 3,275,289,224,262,289,421,clam T4 S6,Yes
EN18218 4,370,382,309,356,386,509,clam T4 S6,Yes
EN18218 5,465,474,394,449,482,599,clam T4 S6,Yes
EN18218 6,559,565,478,540,578,687,clam T4 S6,Yes
EN18218 7,653,656,562,632,673,776,clam T4 S6,Yes
EN18218 8,745,747,645,722,767,865,clam T4 S6,Yes
EN18218 9,837,837,727,812,861,952,clam T4 S6,Yes
EN18218 10,928,926,810,901,953,1040,clam T4 S6,Yes
EN18218 11,1019,1015,891,989,1045,1128,clam T4 S6,Yes
EN18218 12,1108,1102,971,1077,1136,1217,clam T4 S6,Yes
EN18218 13,1196,1189,1051,1163,1225,1306,clam T4 S6,Yes
EN18218 14,1283,1275,1130,1248,1314,1395,clam T4 S6,Yes
EN18218 15,1369,1359,1208,1332,1401,1483,clam T4 S6,Yes
EN18218 16,1453,1443,1284,1415,1486,1569,clam T4 S6,Yes
EN18218 17,1536,1525,1361,1497,1570,1653,clam T4 S6,Yes
EN18218 18,1618,1606,1436,1577,1653,1737,clam T4 S6,Yes
EN18218 19,1698,1685,1510,1656,1734,1819,clam T4 S6,Yes
EN18218 20,1777,1763,1583,1734,1814,1899,clam T4 S6,Yes
EN18218 21,1854,1840,1656,1810,1891,1979,clam T4 S6,Yes
EN18218 22,1929,1915,1726,1884,1967,2057,clam T4 S6,Yes
EN18218 23,2003,1988,1796,1958,2042,2133,clam T4 S6,Yes
EN18218 24,2076,2060,1865,2029,2115,2208,clam T4 S6,Yes
EN18218 25,2147,2131,1932,2099,2186,2281,clam T4 S6,Yes
EN18218 26,2216,2200,1997,2168,2256,2353,clam T4 S6,Yes
EN18218 27,2284,2268,2062,2235,2324,2423,clam T4 S6,Yes
EN18218 28,2350,2334,2126,2301,2391,2492,clam T4 S6,Yes
EN18218 29,2415,2399,2187,2365,2456,2561,clam T4 S6,Yes
EN18218 30,2478,2462,2248,2429,2519,2628,clam T4 S6,Yes
EN18218 31,2539,2524,2308,2490,2580,2693,clam T4 S6,Yes
EN18218 32,2599,2584,2366,2550,2640,2757,clam T4 S6,Yes
EN18218 33,2657,2643,2423,2609,2698,2821,clam T4 S6,Yes
EN18218 34,2714,2701,2479,2666,2754,2882,clam T4 S6,Yes
EN18218 35,2769,2757,2535,2722,2809,2942,clam T4 S6,Yes
EN18218 36,2822,2811,2589,2776,2862,3001,clam T4 S6,Yes
EN18218 37,2874,2864,2641,2829,2914,3059,clam T4 S6,Yes
EN18218 38,2924,2916,2694,2880,2964,3114,clam T4 S6,Yes
EN18218 39,2973,2966,2745,2930,3013,3169,clam T4 S6,Yes
EN18218 40,3021,3016,2796,2978,3061,3223,clam T4 S6,Yes
EN18218 41,3067,3064,2845,3025,3107,3275,clam T4 S6,Yes
EN18218 42,3113,3111,2894,3072,3152,3325,clam T4 S6,Yes
EN18218 43,3157,3157,2942,3116,3196,3376,clam T4 S6,Yes
EN18218 44,3200,3202,2989,3161,3239,3424,clam T4 S6,Yes
EN18218 45,3242,3246,3036,3204,3281,3473,clam T4 S6,Yes
EN18218 46,3283,3289,3083,3246,3323,3520,clam T4 S6,Yes
EN18218 47,3324,3332,3129,3287,3364,3566,clam T4 S6,Yes
EN18218 48,3363,3374,3175,3328,3405,3611,clam T4 S6,Yes
EN18218 49,3403,3415,3220,3368,3445,3655,clam T4 S6,Yes
