measurementid,modeloutput_median,modeloutput_mean,lower_2_sigma,lower_1_sigma,upper_1_sigma,upper_2_sigma,model_name,preselection
EN18218 0,-65,-64,-70,-67,-63,-55,hamstr,Yes
EN18218 1,63,65,-20,36,90,161,hamstr,Yes
EN18218 2,191,196,25,137,245,388,hamstr,Yes
EN18218 3,319,327,70,239,401,614,hamstr,Yes
EN18218 4,448,458,116,340,555,840,hamstr,Yes
EN18218 5,575,588,161,442,710,1067,hamstr,Yes
EN18218 6,704,719,206,543,865,1293,hamstr,Yes
EN18218 7,827,842,302,657,995,1443,hamstr,Yes
EN18218 8,945,955,452,787,1099,1512,hamstr,Yes
EN18218 9,1064,1068,583,917,1207,1586,hamstr,Yes
EN18218 10,1185,1182,695,1045,1322,1660,hamstr,Yes
EN18218 11,1310,1295,796,1171,1443,1744,hamstr,Yes
EN18218 12,1433,1408,888,1286,1564,1847,hamstr,Yes
EN18218 13,1553,1522,968,1395,1691,1978,hamstr,Yes
EN18218 14,1651,1627,1152,1517,1772,2021,hamstr,Yes
EN18218 15,1747,1731,1341,1636,1851,2065,hamstr,Yes
EN18218 16,1846,1836,1520,1758,1930,2112,hamstr,Yes
EN18218 17,1947,1940,1685,1877,2014,2169,hamstr,Yes
EN18218 18,2051,2045,1827,1996,2104,2242,hamstr,Yes
EN18218 19,2158,2149,1930,2104,2206,2338,hamstr,Yes
EN18218 20,2241,2235,2014,2186,2294,2436,hamstr,Yes
EN18218 21,2300,2294,2077,2246,2353,2489,hamstr,Yes
EN18218 22,2359,2354,2130,2302,2415,2553,hamstr,Yes
EN18218 23,2419,2413,2177,2355,2479,2624,hamstr,Yes
EN18218 24,2477,2472,2218,2408,2545,2706,hamstr,Yes
EN18218 25,2535,2531,2255,2457,2611,2793,hamstr,Yes
EN18218 26,2591,2590,2287,2503,2678,2886,hamstr,Yes
EN18218 27,2652,2649,2365,2568,2731,2926,hamstr,Yes
EN18218 28,2710,2708,2440,2636,2784,2963,hamstr,Yes
EN18218 29,2770,2767,2511,2701,2838,3002,hamstr,Yes
EN18218 30,2832,2825,2570,2767,2897,3048,hamstr,Yes
EN18218 31,2895,2884,2624,2828,2957,3099,hamstr,Yes
EN18218 32,2955,2943,2669,2886,3017,3163,hamstr,Yes
EN18218 33,3010,2996,2717,2939,3072,3222,hamstr,Yes
EN18218 34,3054,3041,2766,2989,3114,3258,hamstr,Yes
EN18218 35,3100,3085,2810,3035,3160,3298,hamstr,Yes
EN18218 36,3146,3129,2849,3077,3205,3350,hamstr,Yes
EN18218 37,3189,3173,2881,3115,3251,3413,hamstr,Yes
EN18218 38,3228,3218,2915,3151,3297,3481,hamstr,Yes
EN18218 39,3268,3262,2944,3186,3346,3557,hamstr,Yes
EN18218 40,3306,3300,2975,3221,3387,3605,hamstr,Yes
EN18218 41,3343,3338,3007,3255,3428,3649,hamstr,Yes
EN18218 42,3380,3375,3037,3286,3470,3698,hamstr,Yes
EN18218 43,3414,3412,3065,3317,3510,3752,hamstr,Yes
EN18218 44,3449,3449,3090,3346,3551,3811,hamstr,Yes
EN18218 45,3483,3487,3114,3377,3592,3874,hamstr,Yes
EN18218 46,3518,3524,3137,3407,3633,3934,hamstr,Yes
EN18218 47,3555,3561,3169,3442,3674,3976,hamstr,Yes
EN18218 48,3593,3598,3197,3475,3715,4015,hamstr,Yes
EN18218 49,3629,3635,3220,3507,3756,4064,hamstr,Yes
EN18218 50,3665,3672,3244,3539,3797,4116,hamstr,Yes
EN18218 51,3701,3709,3265,3570,3841,4175,hamstr,Yes
EN18218 52,3734,3746,3290,3599,3883,4237,hamstr,Yes
EN18218 53,3773,3783,3319,3634,3926,4280,hamstr,Yes
EN18218 54,3813,3821,3349,3669,3968,4320,hamstr,Yes
EN18218 55,3853,3858,3377,3704,4009,4359,hamstr,Yes
EN18218 56,3891,3896,3404,3737,4051,4404,hamstr,Yes
EN18218 57,3929,3933,3431,3768,4093,4456,hamstr,Yes
EN18218 58,3967,3971,3456,3799,4135,4510,hamstr,Yes
EN18218 59,4019,4022,3506,3849,4187,4563,hamstr,Yes
EN18218 60,4119,4119,3637,3962,4272,4612,hamstr,Yes
EN18218 61,4224,4217,3752,4077,4362,4666,hamstr,Yes
EN18218 62,4327,4315,3856,4197,4455,4725,hamstr,Yes
EN18218 63,4436,4412,3942,4313,4550,4790,hamstr,Yes
EN18218 64,4548,4510,4022,4423,4648,4865,hamstr,Yes
EN18218 65,4653,4607,4093,4526,4750,4958,hamstr,Yes
EN18218 66,4690,4646,4133,4568,4789,4994,hamstr,Yes
EN18218 67,4703,4661,4159,4585,4800,5001,hamstr,Yes
EN18218 68,4718,4675,4181,4601,4812,5008,hamstr,Yes
EN18218 69,4730,4689,4207,4617,4823,5015,hamstr,Yes
EN18218 70,4744,4703,4230,4633,4834,5022,hamstr,Yes
EN18218 71,4757,4717,4254,4650,4844,5031,hamstr,Yes
EN18218 72,4769,4731,4274,4666,4855,5039,hamstr,Yes
EN18218 73,4780,4744,4299,4680,4864,5044,hamstr,Yes
EN18218 74,4790,4756,4328,4694,4873,5049,hamstr,Yes
EN18218 75,4801,4768,4350,4707,4881,5054,hamstr,Yes
EN18218 76,4812,4781,4373,4721,4891,5059,hamstr,Yes
EN18218 77,4823,4793,4392,4735,4901,5066,hamstr,Yes
EN18218 78,4835,4805,4413,4749,4911,5072,hamstr,Yes
EN18218 79,4846,4817,4432,4760,4921,5078,hamstr,Yes
EN18218 80,4855,4827,4452,4773,4930,5085,hamstr,Yes
EN18218 81,4864,4838,4468,4784,4939,5091,hamstr,Yes
EN18218 82,4875,4849,4486,4795,4948,5098,hamstr,Yes
EN18218 83,4887,4860,4503,4806,4957,5105,hamstr,Yes
EN18218 84,4897,4870,4519,4818,4966,5112,hamstr,Yes
EN18218 85,4907,4881,4535,4828,4976,5121,hamstr,Yes
EN18218 86,4916,4891,4550,4838,4984,5128,hamstr,Yes
EN18218 87,4924,4901,4565,4847,4993,5137,hamstr,Yes
EN18218 88,4933,4911,4580,4857,5001,5144,hamstr,Yes
EN18218 89,4943,4920,4594,4867,5010,5152,hamstr,Yes
EN18218 90,4952,4930,4608,4876,5019,5161,hamstr,Yes
EN18218 91,4961,4940,4622,4885,5028,5171,hamstr,Yes
EN18218 92,4970,4950,4636,4895,5036,5179,hamstr,Yes
EN18218 93,4978,4960,4653,4905,5044,5187,hamstr,Yes
EN18218 94,4988,4970,4665,4915,5053,5195,hamstr,Yes
EN18218 95,4997,4980,4680,4925,5062,5205,hamstr,Yes
EN18218 96,5005,4989,4693,4935,5071,5214,hamstr,Yes
EN18218 97,5015,4999,4706,4944,5080,5224,hamstr,Yes
EN18218 98,5024,5009,4718,4953,5089,5235,hamstr,Yes
EN18218 99,5033,5019,4733,4963,5098,5244,hamstr,Yes
EN18218 100,5042,5029,4746,4973,5106,5252,hamstr,Yes
EN18218 101,5051,5039,4760,4982,5115,5262,hamstr,Yes
EN18218 102,5060,5049,4772,4991,5125,5273,hamstr,Yes
EN18218 103,5069,5058,4785,5000,5134,5285,hamstr,Yes
EN18218 104,5077,5068,4797,5009,5143,5297,hamstr,Yes
EN18218 105,5086,5078,4809,5019,5152,5308,hamstr,Yes
EN18218 106,5095,5088,4822,5029,5162,5317,hamstr,Yes
EN18218 107,5104,5098,4838,5037,5171,5327,hamstr,Yes
EN18218 108,5113,5107,4851,5046,5181,5338,hamstr,Yes
EN18218 109,5122,5117,4862,5055,5191,5349,hamstr,Yes
EN18218 110,5131,5127,4873,5063,5201,5362,hamstr,Yes
EN18218 111,5140,5137,4883,5071,5212,5375,hamstr,Yes
EN18218 112,5148,5146,4894,5079,5220,5384,hamstr,Yes
EN18218 113,5156,5154,4903,5087,5228,5394,hamstr,Yes
EN18218 114,5164,5163,4914,5095,5237,5405,hamstr,Yes
EN18218 115,5172,5172,4924,5103,5245,5416,hamstr,Yes
EN18218 116,5180,5180,4933,5111,5253,5427,hamstr,Yes
EN18218 117,5188,5189,4941,5119,5262,5439,hamstr,Yes
EN18218 118,5195,5197,4950,5127,5270,5449,hamstr,Yes
EN18218 119,5203,5205,4958,5133,5277,5458,hamstr,Yes
EN18218 120,5210,5212,4964,5140,5285,5466,hamstr,Yes
EN18218 121,5217,5220,4971,5147,5292,5475,hamstr,Yes
