CoreID,CompositeDepth,TOC_percent,TOC_mg_g
BN2016-1,12,5.13,51.3
BN2016-1,14,5.27,52.7
BN2016-1,19,3,30
BN2016-1,22,5.05,50.5
BN2016-1,24,4.43,44.3
BN2016-1,26,3.82,38.2
BN2016-1,29,6.16,61.6
BN2016-1,31,3.61,36.1
BN2016-1,34,3.84,38.4
BN2016-1,36,4.43,44.3
BN2016-1,38,4.82,48.2
BN2016-1,41,4.45,44.5
BN2016-1,43,3.69,36.9
BN2016-1,46,4.11,41.1
BN2016-1,48,6.17,61.7
BN2016-1,50,4.89,48.9
BN2016-1,53,3.93,39.3
BN2016-1,55,5.14,51.4
BN2016-1,58,6.07,60.7
BN2016-1,60,3.64,36.4
BN2016-1,62,4.32,43.2
BN2016-1,65,4.74,47.4
BN2016-1,70,5.26,52.6
BN2016-1,72,4.79,47.9
BN2016-1,74,3.49,34.9
BN2016-1,77,4.99,49.9
BN2016-1,79,3.66,36.6
BN2016-1,82,3.34,33.4
BN2016-1,84,3.46,34.6
BN2016-1,86,4.79,47.9
BN2016-1,89,3.66,36.6
BN2016-1,91,3.55,35.5
BN2016-1,94,4.63,46.3
BN2016-1,96,3.97,39.7
BN2016-1,98,5.74,57.4
BN2016-1,101,4.94,49.4
BN2016-1,103,4.25,42.5
BN2016-1,106,3.85,38.5
BN2016-1,112,4.89,48.9
CON01-603-5,147,0.31,3.1
CON01-603-5,149,0.31,3.1
CON01-603-5,151,0.36,3.6
CON01-603-5,153,0.31,3.1
CON01-603-5,155,0.32,3.2
CON01-603-5,157,0.32,3.2
CON01-603-5,159,0.3,3
CON01-603-5,161,0.28,2.8
CON01-603-5,163,0.29,2.9
CON01-603-5,165,0.27,2.7
CON01-603-5,167,0.27,2.7
CON01-603-5,169,0.35,3.5
CON01-603-5,171,0.42,4.2
CON01-603-5,173,0.31,3.1
CON01-603-5,175,0.34,3.4
CON01-603-5,177,0.32,3.2
CON01-603-5,179,0.38,3.8
CON01-603-5,181,0.4,4
CON01-603-5,183,0.39,3.9
CON01-603-5,185,0.4,4
CON01-603-5,187,0.44,4.4
CON01-603-5,189,0.44,4.4
CON01-603-5,191,0.42,4.2
CON01-603-5,193,0.44,4.4
CON01-603-5,195,0.5,5
CON01-603-5,197,0.42,4.2
CON01-603-5,199,0.62,6.2
CON01-603-5,201,0.58,5.8
CON01-603-5,203,0.6,6
CON01-603-5,205,0.61,6.1
CON01-603-5,207,0.68,6.8
CON01-603-5,209,0.65,6.5
CON01-603-5,211,0.72,7.2
CON01-603-5,213,0.46,4.6
CON01-603-5,215,0.49,4.9
CON01-603-5,217,0.55,5.5
CON01-603-5,219,0.51,5.1
CON01-603-5,221,0.51,5.1
CON01-603-5,223,0.55,5.5
CON01-603-5,225,0.34,3.4
CON01-603-5,227,0.34,3.4
CON01-603-5,229,0.38,3.8
CON01-603-5,231,0.41,4.1
CON01-603-5,233,0.47,4.7
CON01-603-5,235,0.43,4.3
CON01-603-5,237,0.46,4.6
CON01-603-5,239,0.58,5.8
CON01-603-5,241,0.58,5.8
CON01-603-5,243,0.59,5.9
CON01-603-5,245,0.61,6.1
CON01-603-5,247,0.67,6.7
CON01-603-5,249,0.67,6.7
CON01-603-5,251,0.6,6
CON01-603-5,253,0.62,6.2
CON01-603-5,255,0.64,6.4
CON01-603-5,257,0.63,6.3
CON01-603-5,259,0.64,6.4
CON01-603-5,261,0.62,6.2
CON01-603-5,263,0.67,6.7
CON01-603-5,265,0.61,6.1
CON01-603-5,267,0.58,5.8
CON01-603-5,269,0.62,6.2
CON01-603-5,271,0.62,6.2
CON01-603-5,273,0.6,6
CON01-603-5,275,0.6,6
CON01-603-5,277,0.63,6.3
CON01-603-5,279,0.56,5.6
CON01-603-5,281,0.6,6
CON01-603-5,283,0.55,5.5
CON01-603-5,285,0.58,5.8
CON01-603-5,287,0.63,6.3
CON01-603-5,289,0.54,5.4
CON01-603-5,291,0.6,6
CON01-603-5,293,0.54,5.4
CON01-603-5,295,0.59,5.9
CON01-603-5,297,0.47,4.7
CON01-603-5,299,0.6,6
CON01-603-5,301,0.53,5.3
CON01-603-5,303,0.59,5.9
CON01-603-5,305,0.58,5.8
CON01-603-5,307,0.52,5.2
CON01-603-5,309,0.51,5.1
CON01-603-5,311,0.5,5
CON01-603-5,313,0.49,4.9
CON01-603-5,315,0.53,5.3
CON01-603-5,317,0.61,6.1
CON01-603-5,319,0.57,5.7
CON01-603-5,321,0.43,4.3
CON01-603-5,323,0.46,4.6
CON01-603-5,325,0.45,4.5
CON01-603-5,327,0.43,4.3
CON01-603-5,329,0.46,4.6
CON01-603-5,331,0.56,5.6
CON01-603-5,333,0.48,4.8
CON01-603-5,335,0.48,4.8
CON01-603-5,337,0.48,4.8
CON01-603-5,339,0.46,4.6
CON01-603-5,341,0.41,4.1
CON01-603-5,343,0.42,4.2
CON01-603-5,344,0.44,4.4
ESM-1,7.75,31.534,315.34
ESM-1,19.75,27.855,278.55
ESM-1,31.75,28.176,281.76
ESM-1,43.75,27.188,271.88
ESM-1,51.75,31.366,313.66
ESM-1,63.75,29.662,296.62
ESM-1,71.75,30.196,301.96
ESM-1,83.75,28.438,284.38
ESM-1,95.75,30.546,305.46
ESM-1,104.75,30.907,309.07
ESM-1,119.5,23.532,235.32
ESM-1,129.5,26.622,266.22
ESM-1,139.5,25.363,253.63
ESM-1,149.5,31.239,312.39
ESM-1,164.5,30.865,308.65
ESM-1,174.5,29.46,294.6
ESM-1,184.5,29.272,292.72
ESM-1,194.5,29.57,295.7
ESM-1,204.5,30.444,304.44
ESM-1,214.5,30.782,307.82
ESM-1,224.5,30.512,305.12
ESM-1,229.5,27.224,272.24
ESM-1,234.5,27.362,273.62
ESM-1,244.5,27.831,278.31
ESM-1,254.5,29.496,294.96
ESM-1,264.5,28.294,282.94
ESM-1,274.5,27.779,277.79
ESM-1,284.5,30.261,302.61
ESM-1,294.5,33.971,339.71
ESM-1,304.5,31.17,311.7
ESM-1,314.5,31.771,317.71
ESM-1,329.5,31.524,315.24
ESM-1,334.5,29.458,294.58
ESM-1,349.5,32.235,322.35
ESM-1,360.5,30.652,306.52
ESM-1,370.5,31.308,313.08
LS-9,0.5,11.36,113.6
LS-9,0.5,11.01,110.1
LS-9,5.5,10.56,105.6
LS-9,10.5,8.94,89.4
LS-9,15.5,9.56,95.6
LS-9,20.5,8.18,81.8
LS-9,25.5,7.35,73.5
LS-9,30.5,9.32,93.2
LS-9,35.5,7.88,78.8
LS-9,35.5,9.79,97.9
LS-9,42.5,7.93,79.3
LS-9,49.5,7.52,75.2
LS-9,56.5,6.04,60.4
LS-9,61,11.65,116.5
LS-9,68,7,70
LS-9,75,7.9,79
LS-9,82,6.63,66.3
LS-9,82,7.21,72.1
LS-9,89,8.32,83.2
LS-9,96,7.26,72.6
LS-9,103,7.56,75.6
LS-9,110,8.39,83.9
LS-9,117,10.35,103.5
LS-9,124,7.95,79.5
LS-9,131,8.53,85.3
LS-9,131,8.49,84.9
LS-9,138,9.31,93.1
LS-9,145,9.76,97.6
LS-9,152,11.67,116.7
LS-9,159,12.4,124
LS-9,166,9.22,92.2
LS-9,173,7.1,71
LS-9,180,6.77,67.7
LS-9,180,6.96,69.6
LS-9,187,10.24,102.4
LS-9,194,11.38,113.8
LS-9,201,8.47,84.7
LS-9,201,11.51,115.1
LS-9,208,10.68,106.8
LS-9,215,8.91,89.1
LS-9,222,9.59,95.9
LS-9,229,16.11,161.1
LS-9,236,12.32,123.2
LS-9,243,12.05,120.5
LS-9,249,9.6,96
LS-9,249,9.68,96.8
LS-9,256,11.2,112
LS-9,263,14.24,142.4
LS-9,270,8.48,84.8
LS-9,277,8.8,88
LS-9,284,12.6,126
LS-9,291,11.49,114.9
LS-9,298,11.57,115.7
LS-9,298,13.16,131.6
LS-9,305,6.12,61.2
LS-9,315.5,1.45,14.5
LS-9,326,3.26,32.6
LS-9,336.5,7.94,79.4
LS-9,354,2.5,25
PER3,10,0.2799,2.799
PER3,20,0.3605,3.605
PER3,30,0.8694,8.694
PER3,40,2.5398,25.398
PER3,50,6.92,69.2
PER3,60,7.5742,75.742
PER3,70,8.6,86
PER3,80,8.8822,88.822
PER3,90,7.3965,73.965
PER3,100,5.5671,55.671
PER3,110,3.2005,32.005
PER3,120,5.3312,53.312
PER3,130,0.4639,4.639
PER3,140,0.1232,1.232
PER3,150,0.1668,1.668
PER3,160,7.63,76.3
PER3,170,1.2765,12.765
PER3,180,0.2947,2.947
PER3,190,6.91,69.1
PER3,200,6.8652,68.652
